index,programming_languages,tools_and_technologies,soft_skills,years_experience_min,experience_level
257,"['C++', 'Other']",['Other'],"['Communication', 'Interpersonal skills', 'Problem-solving', 'Building trust']",2.0,not specified
258,"['Python', 'C++', 'Perl', 'Other']","['Software Development', 'Other']","['Creative thinking', 'Critical thinking', 'Troubleshooting', 'Collaboration', 'Communication', 'Time management']",,not specified
259,['C++'],"['AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Technical understanding of audio technologies', 'Geometrical modeling']",4.0,mid
260,"['Python', 'Other']","['DevOps', 'Software Development']","['Ability to work independently', 'Teamwork', 'Excellent written skills', 'Social skills', 'Creative analytical skills']",3.0,not specified
261,"['C++', 'Java', 'Other']","['Software Development', 'Networking']","['Analytical skills', 'Programming and debugging skills', 'Collaborative', 'Communication', 'Passionate', 'Detail-oriented']",,not specified
262,['C++'],"['Software Development', 'Other']","['problem solving', 'debugging', 'creating superior user experience']",,not specified
263,['Other'],"['Web Development', 'Software Development']","['Leadership', 'Communication', 'Relationship building']",5.0,senior
264,"['JavaScript', 'C++', 'Other']","['Web Development', 'Other']","['Collaboration', 'Communication', 'Problem-solving', 'Adaptability', 'Attention to detail', 'Results-oriented']",2.0,mid
265,[],"['Software Development', 'Other']","['Collaboration', 'Problem Solving', 'Attention to Detail', 'Communication', 'Creativity']",,not specified
266,[],"['Software Development', 'Other']","['Influencing and collaborating', 'Presentation skills', 'Prioritization', 'Strategic vision', 'Analytical skills', 'Communication skills', 'Initiative', 'Adaptability', 'Business insight', 'Customer focus', 'Problem solving', 'Multitasking']",5.0,senior
267,"['C++', 'Other']","['Networking', 'Other']","['objective oriented design', 'debugging', 'collaborative communication', 'attention to detail', 'creativity', 'adaptability', 'positive attitude']",2.0,mid
268,['Other'],[],"['Excellent communication', 'Collaboration skills', 'Troubleshooting', 'Debugging', 'Fast-paced environment adaptability', 'Learning new technologies']",5.0,senior
269,['Other'],"['Software Development', 'Other']","['Communication', 'Collaboration', 'Troubleshooting', 'Debugging', 'Adaptability', 'Continuous Learning']",5.0,senior
270,"['Shell', 'Python', 'C++', 'Other']","['Software Development', 'Networking', 'Other']","['Testing', 'Releasing', 'Troubleshooting automation', 'Debugging', 'Fault isolation']",5.0,senior
271,"['C++', 'Java']",['Machine Learning/Artificial Intelligence'],"['Problem solving', 'Critical thinking', 'Communication']",1.0,junior
272,['JavaScript'],['Web Development'],"['Strong problem solving and critical thinking', 'Attention to detail', 'Collaboration', 'Communication', 'Interpersonal skills', 'Ability to learn independently']",,not specified
273,[],[],"['communication', 'attention to detail', 'problem-solving', 'independent learning']",,not specified
274,"['Swift', 'Other']",['Software Development'],"['Problem solving', 'Critical thinking', 'Interpersonal skills', 'Ability to work in a diverse group']",,not specified
275,['Java'],['Web Development'],"['problem solving', 'critical thinking', 'communication']",,senior
276,"['C++', 'Java']",['Machine Learning/Artificial Intelligence'],"['problem solving', 'critical thinking', 'communication skills']",3.0,mid
277,"['Python', 'C++', 'Other']",['Software Development'],"['Excellent written and verbal interpersonal skills', 'Ability to handle multiple tasks', 'Ability to prioritize work', 'Ability to work multi-functionally with other teams and groups']",,not specified
278,"['Python', 'C++', 'Other']",['Other'],[],,not specified
279,"['Java', 'Python', 'Swift', 'Go', 'C++', 'Other']","['Data Analytics', 'DevOps', 'Database Management', 'Cloud Computing', 'Networking', 'Other']","['Sense of Ownership', 'Customer Service', 'Integrity', 'Clear Communication', 'Systematic Approach']",,senior
280,"['Python', 'Other']",['Software Development'],"['Highly motivated', 'Creative', 'Organized', 'Strong verbal and communication skills', 'Ability to learn quickly']",,not specified
281,"['JavaScript', 'Swift', 'Other']","['Mobile Development', 'Other']","['Object oriented design', 'Memory management', 'Performance optimization', 'Debugging performance problems', 'Multi-threaded asynchronous coding', 'Attention to detail', 'Communication with diverse teams']",,not specified
282,"['C++', 'Other']",['Other'],"['Analytical skills', 'Programming skills', 'Debugging skills', 'Communication skills', 'Collaboration skills', 'Time management', 'Problem-solving', 'Attention to detail']",,not specified
283,"['Swift', 'Other']","['Web Development', 'Human-Computer Interaction', 'Mobile Development', 'Other']","['Excellent communication', 'Collaborative skills', 'Judgment and integrity', 'Creativity', 'Focus and prioritization', 'Adaptability', 'Results oriented', 'Positive attitude', 'Dedication']",,not specified
284,"['C++', 'Other']","['Software Development', 'Mobile Development', 'Other']","['debugging skills', 'problem-solving']",5.0,senior
285,[],['Software Development'],"['Quality Coaching', 'Technical Communication', 'Questioning']",,not specified
286,['Java'],"['Networking', 'Database Management', 'Other']","['Understanding of business context', 'Technical communication', 'Design and code review', 'Cross-functional team collaboration', 'Decision making', 'Team representation', 'Hiring and mentoring', 'Communication with senior executives', 'Continuous learning']",,senior
287,"['JavaScript', 'Scala', 'Java', 'Python', 'C++']","['Cloud Computing', 'Software Development', 'Machine Learning/Artificial Intelligence']",[],,not specified
288,"['JavaScript', 'Java', 'Swift', 'TypeScript', 'C++', 'Other']","['Web Development', 'Mobile Development']","['Ability to rapidly learn new technologies', 'Self-motivated', 'Detail-oriented', 'Excellent problem solving', 'Critical thinking']",,not specified
289,"['Swift', 'C++', 'Other']","['Other', 'AR/VR (Augmented Reality/Virtual Reality)', 'Mobile Development']","['object-oriented programming', 'real-time programming', 'multi-threaded programming']",5.0,senior
290,"['C++', 'Other']",['Other'],"['interpersonal skills', 'collaboration', 'problem-solving']",,not specified
291,"['C++', 'Other']","['Cloud Computing', 'Software Development', 'Other']","['Creative Thinking', 'Critical Thinking', 'Troubleshooting', 'Collaboration', 'Written and Verbal Communication']",5.0,senior
292,"['Swift', 'C++', 'Other']","['Data Analytics', 'Software Development', 'Other']","['Tenacity to learn new things quickly', 'Excellent problem solving', 'Root cause analysis', 'Excellent presentation', 'Verbal/written communications']",,not specified
293,"['Python', 'Shell', 'Perl', 'C++', 'Other']","['DevOps', 'Software Development', 'Other']","['Communication', 'Project management', 'Collaboration']",,not specified
294,"['C++', 'Java']","['Data Analytics', 'Cloud Computing', 'AR/VR (Augmented Reality/Virtual Reality)', 'Software Development', 'Other']","['Strong written and oral communication', 'Aptitude to independently learn new technologies']",,not specified
295,['Java'],"['Web Development', 'Database Management']",['Interest in payment industry'],7.0,senior
296,['C++'],['Other'],"['Software design', 'Debugging']",5.0,senior
297,"['Python', 'C++', 'Swift', 'Other']","['Software Development', 'Networking']","['Collaborative environment', 'Cross-functional teamwork', 'Clear communication', 'Passionate', 'Detail-oriented', 'Problem-solving']",,not specified
298,"['Shell', 'C++', 'Other']","['Data Analytics', 'Software Development', 'Other']","['Exploring and understanding complex codebases', 'Ensuring high code quality', 'Performance optimization', 'Modularity in software', 'Reuse in large projects']",8.0,senior
299,"['Python', 'Go']","['Database Management', 'Other']","['Attention to detail', 'Analytical capabilities', 'Oral and written interpersonal skills', 'Self-motivated', 'Dedicated', 'Solution-oriented']",,not specified
300,"['Python', 'C++', 'R', 'Other']","['Software Development', 'Database Management']","['Critical thinking', 'Troubleshooting', 'Collaboration', 'Written and verbal communication', 'Time management']",,senior
301,"['Java', 'Python', 'Shell', 'Perl', 'Other']","['Cybersecurity', 'Software Development', 'Database Management', 'Other']",['Willingness to travel'],,not specified
302,"['JavaScript', 'Java', 'Python', 'TypeScript', 'Go']","['Cloud Computing', 'Software Development', 'Networking', 'Other']","['Excellent verbal and written interpersonal skills', 'Simplifying complex information']",,not specified
303,"['JavaScript', 'Scala', 'Java', 'Perl', 'Shell', 'Python', 'Ruby', 'Other']","['Data Analytics', 'DevOps', 'Database Management', 'Software Development', 'Web Development', 'Other']","['Excellent scripting skills', 'Understanding of software test environments', 'Open to travel']",,not specified
304,"['Python', 'C++', 'Other']","['Software Development', 'Other']",[],,not specified
305,"['JavaScript', 'Other']","['Web Development', 'Software Development', 'Other']","['Crafting wireframes', 'User flows']",2.0,mid
306,['Other'],['Software Development'],[],3.0,mid
307,"['C++', 'Other']","['Software Development', 'Other']","['software design', 'problem solving', 'debugging']",,not specified
308,['Java'],['Web Development'],"['problem solving', 'critical thinking', 'communication']",,mid
309,[],['Other'],"['cross-functional communication', 'influencing skills']",,not specified
310,['Java'],['Web Development'],"['Problem solving', 'Critical thinking', 'Interpersonal skills']",3.0,mid
311,"['JavaScript', 'Swift', 'Other']","['Mobile Development', 'Other']","['Attention to detail', 'Communication with diverse teams', 'Project completion']",,not specified
312,"['C++', 'Other']",['Other'],"['critical thinking', 'troubleshooting', 'collaborative skills', 'written and verbal communication', 'professionalism']",,not specified
313,"['Python', 'C++', 'Other']",['DevOps'],"['Detail oriented', 'Analytical', 'Creative thinker', 'Strong organizational skills', 'Communication skills', 'Ability to work independently', 'Problem triage', 'Prioritization', 'Resolution proposal']",,mid
314,"['C++', 'Other']",['Software Development'],"['Creative and critical thinking', 'Quality code writing', 'Project management', 'Quick learning', 'Adaptability', 'Design skills', 'Analytical skills', 'Excellent communication']",,not specified
315,"['JavaScript', 'Python', 'Swift']","['Cloud Computing', 'Mobile Development', 'Software Development', 'Web Development', 'Other']","['Bug Detection', 'Bug Isolation', 'Adaptability', 'Creative Thinking', 'Quality Advocacy', 'Problem Triage', 'Prioritization', 'Communication', 'Detail-Oriented']",,not specified
316,"['Swift', 'C++', 'Other']","['Data Analytics', 'Database Management', 'Networking', 'Other']","['teamwork', 'communication', 'collaborative planning', 'flexibility']",5.0,senior
317,['C++'],"['Internet of Things (IoT)', 'Other', 'Mobile Development']","['Effective communication', 'Attention to detail']",,not specified
318,"['C++', 'Other']","['AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Software Design', 'Linear Algebra', 'Rendering Algorithms', 'Memory Management', 'Multi-threaded Software', 'Profiling', 'Performance Optimizations']",,not specified
319,['Java'],"['Web Development', 'Other', 'Database Management', 'Cybersecurity']","['Pro-active', 'Self-motivated', 'Good people skills', 'Good oral/written communication', 'Quality focus', 'Continuous improvement']",8.0,senior
320,[],"['Data Analytics', 'Software Development', 'Mobile Development']","['excellent communication', 'creative and critical thinking', 'attention to detail', 'curiosity', 'collaboration']",,not specified
321,[],"['Software Development', 'Other']","['Critical Thinking', 'Troubleshooting', 'Collaborative Skills', 'Written Communication', 'Verbal Communication', 'Team Motivation']",,senior
322,"['JavaScript', 'Swift', 'Shell', 'Python', 'Other']","['Software Development', 'Other']","['Collaborative', 'Technical communication', 'Problem-solving', 'Passion for innovation']",,not specified
323,[],"['Web Development', 'Cloud Computing', 'Software Development', 'Mobile Development']","['Bug Detection', 'Bug Isolation', 'Adaptability', 'Creative Thinking', 'Advocacy for Quality', 'Problem Triage', 'Prioritization', 'Communication', 'Detail-oriented', 'Analytical Skills', 'Methodical']",,not specified
324,"['Swift', 'Other']","['Software Development', 'Other']","['Excellent interpersonal skills', 'Listening', 'Clear communication', 'Knowledge sharing', 'Result oriented', 'Deadline driven']",5.0,senior
325,"['JavaScript', 'Python']","['Other', 'Software Development', 'Mobile Development']","['Collaboration', 'User-centered thinking', 'Problem triage', 'Context switching']",,not specified
326,"['Other', 'Java']","['Data Analytics', 'Database Management', 'Cloud Computing', 'Software Development', 'Web Development', 'Networking', 'Other']","['Self-starter', 'Visionary', 'Leadership', 'Communication', 'Collaboration']",5.0,senior
327,"['JavaScript', 'Scala', 'Java', 'Other']","['Web Development', 'Human-Computer Interaction', 'Software Development', 'Other']",['Ability to work in a fast-paced environment'],,not specified
328,['Other'],['Software Development'],"['Problem Solving', 'Critical Thinking', 'Communication Skills']",3.0,mid
329,['Java'],"['Data Analytics', 'Machine Learning/Artificial Intelligence', 'Software Development', 'Other']","['Experimentation', 'Analysis', 'Interpretation']",3.0,mid
330,"['Perl', 'Shell', 'Python', 'Other']","['Internet of Things (IoT)', 'Software Development', 'Other']","['Software design', 'Data structures', 'Algorithms']",3.0,mid
331,['Python'],['Software Development'],"['Creative thinking', 'Problem-solving', 'Innovation', 'Willingness to learn']",,not specified
332,['Other'],"['Internet of Things (IoT)', 'Data Analytics', 'Software Development', 'Other']","['Problem-solving', 'Collaboration']",,senior
333,['Other'],['Software Development'],[],3.0,not specified
334,['Other'],"['Internet of Things (IoT)', 'Software Development', 'Other']",[],8.0,senior
335,"['C++', 'Other']",['Other'],"['Debugging', 'Test driven development']",3.0,mid
336,"['Java', 'Python', 'Perl', 'C++', 'Other']","['Data Analytics', 'Database Management', 'Web Development', 'Networking', 'Other']",['Experience leading and working with off-shore teams'],,senior
337,"['C++', 'Java']","['Web Development', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['independent learning of new technologies', 'strong written communication', 'strong oral communication']",,not specified
338,"['C++', 'Other']",['Software Development'],"['cross-functional teamwork', 'independent work', 'professionalism', 'written and verbal communication', 'organizational skills', 'detail orientation']",,not specified
339,"['Ruby', 'Python', 'JavaScript', 'Other']","['Human-Computer Interaction', 'Software Development']","['organized', 'problem solver', 'attention to detail']",,not specified
340,"['Python', 'C++', 'Other']","['Software Development', 'Other']","['Highly motivated', 'Focused', 'Attention to detail', 'Excellent judgment', 'Integrity', 'Interpersonal skills']",3.0,mid
341,"['Go', 'Scala', 'Python', 'Other']","['Cloud Computing', 'Software Development', 'Other']","['Mentoring', 'Communication', 'Collaboration', 'Problem solving', 'Analytical thinking']",7.0,senior
342,['Java'],"['Data Analytics', 'Cloud Computing']",[],5.0,senior
343,['Other'],"['Software Development', 'Other']","['Problem-solving', 'Collaboration', 'Hands-on debugging']",,senior
344,"['C++', 'Other']",['Other'],['Excellent written and oral communication skills'],,senior
345,[],['Other'],"['flexibility', 'problem solving', 'interpersonal skills', 'team building', 'leadership', 'planning', 'organizational skills', 'communication', 'influence', 'team collaboration']",7.0,senior
346,['C++'],"['Data Analytics', 'Other']","['problem solving', 'analytic skills', 'interpersonal skills', 'teamwork']",,not specified
347,"['Python', 'Shell', 'Perl', 'C++', 'Other']","['Software Development', 'Other']","['Teamwork', 'Proactive', 'Communication', 'Organizational skills', 'Detail oriented']",5.0,senior
348,"['C++', 'Other']","['Software Development', 'Other']","['Strong written and verbal communication skills', 'Self-motivated', 'Creative thinking', 'Critical thinking', 'Collaboration', 'Teamwork']",2.0,mid
349,"['Scala', 'Other', 'Java']","['DevOps', 'Cybersecurity', 'Software Development', 'Web Development', 'Other']","['Outstanding collaboration', 'Organizational skills', 'Excellent written and verbal communication', 'Self-motivated', 'Independent', 'Dedicated']",5.0,senior
350,[],[],"['Communication', 'Collaboration', 'Analytical skills', 'Problem-solving', 'Initiative']",,not specified
351,"['Python', 'C++', 'Other']","['Other', 'Software Development', 'Cybersecurity']","['Problem solving', 'Analytical thinking']",,not specified
352,"['Swift', 'Other']","['Other', 'Cloud Computing', 'Mobile Development']","['attention to detail', 'sense of responsibility', 'self-improvement', 'effective communication', 'constructive feedback']",,senior
353,['Java'],"['Data Analytics', 'Database Management', 'Cloud Computing', 'Web Development', 'Other']","['Excellent written and verbal communication skills', 'Ability to thrive in a multi-functional team']",5.0,not specified
354,['Java'],"['Database Management', 'Mobile Development', 'Cybersecurity', 'Software Development', 'Web Development', 'Other']","['analytical skills', 'problem solving', 'critical thinking', 'quick learning', 'communication', 'collaboration', 'interpersonal skills']",8.0,senior
355,['Other'],"['Machine Learning/Artificial Intelligence', 'Software Development']","['Excellent communication skills', 'Attention to detail', 'Problem-solving', 'Independent learning']",,not specified
356,"['Scala', 'Java']",[],"['Technical leadership', 'Communication', 'Collaboration']",,senior
357,"['JavaScript', 'Python', 'C#', 'Java']","['Web Development', 'Cloud Computing', 'Other']","['Clear communication', 'Team collaboration']",,not specified
358,"['C++', 'Other']","['Cloud Computing', 'Software Development', 'Networking', 'Other']","['deep understanding of software engineering principles', 'computer science fundamentals']",10.0,senior
359,"['Other', 'C++', 'C#', 'Java']","['Web Development', 'Database Management']","['Understanding of software development process', 'Interest in payment industry']",2.0,not specified
360,"['Python', 'Swift', 'Other', 'Java']","['Web Development', 'DevOps', 'Software Development', 'Cybersecurity']","['self-motivated', 'independent', 'dedicated', 'collaboration', 'organizational skills', 'communication skills', 'ability to work in fast-paced environments', 'ability to deliver high-quality work on tight schedules']",5.0,senior
361,"['C++', 'Other']","['Other', 'Software Development', 'Networking', 'Cybersecurity']","['Excellent communication', 'Interpersonal skills']",,mid
362,"['JavaScript', 'Scala', 'PHP', 'Java', 'Python', 'Ruby', 'C++', 'Other']","['Web Development', 'Data Analytics', 'Software Development', 'Database Management']","['Object-oriented design', 'Data structures and algorithms', 'Client-server protocol', 'API design', 'Debugging', 'Critical thinking', 'Interpersonal skills']",,not specified
363,"['Python', 'C++']","['Data Analytics', 'DevOps', 'Cloud Computing', 'Software Development', 'Other']","['Leadership', 'Coordination', 'Stakeholder Management']",5.0,senior
364,"['Swift', 'Other']","['Web Development', 'Networking', 'Other']",[],5.0,senior
365,['Other'],"['Machine Learning/Artificial Intelligence', 'Software Development']","['Effective communication', 'Leadership', 'Problem-solving', 'Pragmatic approach']",,not specified
366,"['Python', 'Shell', 'Other', 'Java']","['Data Analytics', 'Other']","['deadline management', 'cross-functional team collaboration', 'resourcefulness', 'creativity', 'collaboration']",3.0,mid
367,"['Scala', 'Java']","['Data Analytics', 'Cloud Computing']","['Analytical Skills', 'Debugging Skills', 'Collaboration', 'Passion for Maps']",,not specified
368,"['Python', 'C++']","['Cybersecurity', 'Software Development', 'Other']",[],3.0,not specified
369,"['Python', 'C++']","['Machine Learning/Artificial Intelligence', 'Other']","['Technical Leadership', 'Collaboration', 'Code Review', 'Project Planning']",3.0,senior
370,"['Swift', 'C++', 'Other']","['Other', 'Software Development', 'Networking', 'Mobile Development']","['Multi-functional partnerships and leadership skills', 'Problem solving', 'Critical thinking', 'Self-directed', 'Analytical', 'Teamwork', 'Attention to detail']",5.0,senior
371,['Java'],"['Web Development', 'Cybersecurity', 'Database Management', 'Other']","['Pro-active', 'Self-motivated', 'Good people skills', 'Good oral/written communication skills', 'Passion for quality', 'Continuous improvement']",8.0,senior
372,"['C++', 'Other']","['Data Analytics', 'Software Development', 'Networking', 'Other']","['debugging', 'statistical analysis', 'interpersonal skills', 'independent', 'collaborative', 'dedicated', 'ambitious']",3.0,mid
373,[],['Other'],"['Investigative and debugging skills', 'Creative thinking', 'Problem solving', 'Attention to detail', 'User-focused design', 'Adaptability', 'Excellent written and verbal communication', 'Organization', 'Motivation', 'Passion']",,not specified
374,"['JavaScript', 'Python', 'Swift']","['Web Development', 'Cloud Computing', 'Software Development', 'Mobile Development']","['Problem Solving', 'Advocacy for Quality', 'Communication', 'Collaboration', 'Attention to Detail', 'Creativity', 'Adaptability']",,mid
375,[],['Software Development'],"['Verbal communication', 'Written communication', 'Interpersonal skills', 'Analytical skills', 'Collaboration', 'Project management', 'Drive to learn and improve', 'Simplifying complex processes']",,not specified
376,[],['Other'],"['communication', 'negotiation', 'organization', 'multi-tasking', 'information filtering', 'project planning']",5.0,senior
377,['Other'],['Web Development'],"['Communication', 'Presentation', 'Problem Solving', 'Debugging', 'Ownership']",,not specified
378,"['C++', 'Java']","['Data Analytics', 'Machine Learning/Artificial Intelligence', 'Software Development', 'Other']","['Strong communication skills', 'Problem solving', 'Critical thinking', 'Flexibility', 'Ability to work in a fast-paced environment', 'Enthusiasm for learning', 'Passion for creating products']",,not specified
379,"['Java', 'Swift', 'Python', 'Shell', 'Ruby', 'C++', 'Other']","['DevOps', 'Cloud Computing', 'Mobile Development', 'Software Development', 'Web Development', 'Other']","['Listening', 'Facilitation', 'Driving results', 'Working in dynamic environments', 'Tech evangelism', 'Cross-functional collaboration', 'Mentoring']",3.0,mid
380,['Python'],"['Networking', 'Other']","['Analytical skills', 'Adaptability', 'Multitasking', 'Data analysis', 'Reporting', 'Self-motivation', 'Self-starter attitude']",2.0,mid
381,"['Scala', 'Java', 'Perl', 'Python', 'Ruby']","['DevOps', 'Software Development', 'Other']","['Effective communication', 'Ability to work in a fast-paced environment']",4.0,mid
382,"['JavaScript', 'Python', 'Swift']","['Web Development', 'Cloud Computing', 'Software Development', 'Mobile Development']","['Creative Thinking', 'Adaptability', 'Problem Triage and Resolution', 'Advocacy for Quality', 'Collaborative Communication', 'Detail Orientation', 'Analytical Skills', 'Methodical Approach', 'Passion for Quality']",,not specified
383,['Other'],"['Software Development', 'Mobile Development']","['Music knowledge', 'Audio production skills']",,not specified
384,['Other'],[],"['Problem solving', 'Critical thinking', 'Attention to detail']",,not specified
385,"['Java', 'Python', 'Shell', 'Perl', 'C++', 'Other']","['Data Analytics', 'Database Management', 'Web Development', 'Networking', 'Other']",['Experience leading and working with off-shore teams'],,senior
386,"['Swift', 'Other']","['Human-Computer Interaction', 'Other', 'Software Development', 'Mobile Development']","['User-oriented focus', 'Attention to detail', 'Excellent communication', 'Interpersonal skills', 'Organizational skills']",,not specified
387,['Swift'],"['Software Development', 'Mobile Development']","['Self-motivated', 'Creative thinking', 'Critical thinking', 'Collaboration', 'Written communication', 'Verbal communication', 'Independent', 'Dedicated']",,not specified
388,"['Python', 'Swift', 'Other', 'Java']","['Web Development', 'Cybersecurity', 'DevOps', 'Other']","['Excellent collaboration and organizational skills', 'Excellent written and verbal communication skills', 'Ambitious', 'Independent', 'Dedicated', 'Ability to work in a fast-paced environment']",5.0,senior
389,"['Ruby', 'Python', 'Swift', 'Other']","['Web Development', 'Networking', 'Other']","['Automation', 'Performance Testing', 'Functional Testing', 'Web Development']",,not specified
390,['Java'],"['Database Management', 'Software Development', 'Web Development', 'Networking', 'Other']",[],,senior
391,"['Java', 'Python', 'Ruby', 'C++', 'Other']","['Data Analytics', 'DevOps', 'Software Development', 'Web Development', 'Other']","['Leadership', 'Automation', 'Problem-solving']",,senior
392,"['JavaScript', 'Python', 'Swift']","['Cloud Computing', 'Mobile Development', 'Software Development', 'Web Development', 'Other']","['Adaptability', 'Creative Thinking', 'Advocacy for Quality', 'Problem Triaging', 'Exceptional Communication', 'Detail-Oriented', 'Analytical Skills']",,not specified
393,[],['Other'],"['Problem solving', 'Interpersonal skills', 'Team building', 'Project management', 'Leadership', 'Planning', 'Organizational skills', 'Communication', 'Flexibility', 'Adaptability', 'Influence and drive change']",7.0,senior
394,"['Python', 'C++']",['Other'],"['Analytical skills', 'Collaborative work', 'Communication skills']",,not specified
395,['Other'],['Other'],[],,not specified
396,"['JavaScript', 'Java', 'Python', 'TypeScript', 'Go']","['Database Management', 'Cloud Computing', 'Networking', 'Other']","['Excellent verbal and written interpersonal skills', 'Presenting information in a simplified interface']",,not specified
397,"['Scala', 'Java']","['Data Analytics', 'Cloud Computing']","['Analytical Skills', 'Debugging Skills', 'Collaboration']",,not specified
398,"['C++', 'Other']","['Data Analytics', 'Machine Learning/Artificial Intelligence', 'Other']","['analytical skills', 'mathematical background', 'effective communication']",,not specified
399,"['JavaScript', 'Python', 'Shell']","['Internet of Things (IoT)', 'Software Development']","['Creative Thinking', 'Critical Thinking', 'Problem Solving', 'Communication', 'Cross-Functional Teamwork']",,not specified
400,"['JavaScript', 'Python', 'Swift']","['Web Development', 'Cloud Computing', 'Software Development', 'Mobile Development']","['Bug Detection', 'Bug Isolation', 'Adaptability', 'Creativity', 'Quality Advocacy', 'Problem Triage', 'Prioritization', 'Communication', 'Detail-oriented', 'Analytical Skills']",,not specified
401,"['Python', 'Other']",['Software Development'],"['Highly motivated', 'Creative', 'Organized', 'Strong verbal and communication skills', 'Ability to ramp up quickly on new and existing technologies']",5.0,senior
402,"['Other', 'C++', 'Java']","['DevOps', 'Software Development', 'Mobile Development']","['collaborative problem solving', 'critical thinking', 'communication skills', 'creativity', 'focus', 'prioritization', 'positive attitude', 'judgment', 'integrity']",3.0,senior
403,"['Other', 'Scala', 'Java']","['Web Development', 'DevOps', 'Software Development', 'Other']","['Self-motivated', 'Independent', 'Collaboration', 'Organizational skills', 'Written and verbal communication', 'Delivering high-quality work on tight schedules', 'Ability to work in a fast-paced environment']",5.0,senior
404,"['JavaScript', 'Scala', 'Java', 'Python', 'Shell']","['DevOps', 'Software Development']","['collaborative environment', 'clear communication', 'debugging skills', 'passionate', 'inquisitive']",,not specified
405,"['Perl', 'Shell', 'Python', 'C++', 'Other']","['DevOps', 'Software Development', 'Other']","['collaborative skills', 'written and verbal communication', 'ability to learn quickly', 'professionalism', 'ability to work on tight schedules']",,not specified
406,['Python'],"['Software Development', 'Database Management']","['failure analysis', 'troubleshooting']",3.0,not specified
407,[],['Other'],"['Team building', 'Executive presence', 'Technical agility', 'Priority management', 'Organization', 'Creativity', 'Motivation', 'Communication', 'Problem solving', 'Attention to detail']",5.0,senior
408,"['C++', 'Other']","['AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Good interpersonal skills', 'Ability to learn unfamiliar code bases and algorithms quickly']",,senior
409,"['Swift', 'C++', 'Java', 'Other']","['Software Development', 'Networking', 'Other']","['Analytical skills', 'Programming skills', 'Debugging skills', 'Collaboration', 'Communication', 'Interpersonal skills']",,not specified
410,"['Ruby', 'Python', 'Scala']","['Data Analytics', 'DevOps', 'Database Management', 'Cloud Computing', 'Software Development', 'Other']","['Ability to multi-task', 'Adaptability', 'Organizational skills', 'Detail oriented', 'Communication skills']",,not specified
411,['Other'],"['Mobile Development', 'Software Development', 'Other']","['Analytical skills', 'Problem solving', 'Creative thinking', 'Communication', 'Adaptability', 'User-focused design', 'Team collaboration', 'Leadership']",,not specified
412,"['JavaScript', 'Java', 'Python', 'Ruby', 'Other']","['Software Development', 'Other']","['Problem Solving', 'Debugging', 'Written and Verbal Communication', 'Project Management', 'Collaboration', 'Attention to Detail']",,not specified
413,[],[],"['communication', 'analytical skills', 'problem-solving', 'collaboration', 'initiative']",,not specified
414,['Other'],"['Software Development', 'Other']",[],,not specified
415,"['JavaScript', 'Other']",['Web Development'],"['Ability to express ideas clearly', 'Strong debugging and diagnostic skills', 'Excellent oral and written English communication skills', 'Aptitude to independently learn new technologies']",,mid
416,"['Scala', 'Java']","['Data Analytics', 'Cloud Computing', 'Database Management', 'Other']",['Excellent communication skills'],2.0,mid
417,[],"['Data Analytics', 'Software Development', 'Mobile Development']","['Project management', 'Communication', 'Creative thinking', 'Critical thinking', 'Attention to detail', 'Curiosity', 'Collaboration']",,senior
418,"['Swift', 'C++', 'Other']","['Software Development', 'Other']","['Analytical skills', 'Debugging skills', 'Communication skills', 'Creative thinking', 'Problem-solving skills']",,not specified
419,"['Scala', 'Java']","['Data Analytics', 'Database Management', 'Cloud Computing', 'Software Development', 'Web Development']","['Aptitude to learn new technologies', 'Ability to design and develop', 'Project leadership', 'Creative mindset', 'Customer focus']",5.0,senior
420,"['Python', 'C++', 'Other']","['DevOps', 'Software Development']","['Communication', 'Collaboration', 'Problem solving', 'Debugging']",5.0,senior
421,"['JavaScript', 'Java']","['DevOps', 'Database Management', 'Software Development', 'Web Development', 'Other']","['Teamwork', 'Responsibility', 'Ownership', 'Analytical skills', 'Problem solving']",,not specified
422,[],"['Cybersecurity', 'Software Development', 'Web Development', 'Networking', 'Other']","['Dedicated', 'Self-motivated', 'Good people skills', 'Good oral/written social skills', 'Upbeat', 'Adaptable', 'Results oriented', 'Positive attitude']",,not specified
423,"['JavaScript', 'Other', 'Java']","['Other', 'Data Analytics', 'Software Development', 'Mobile Development']","['Flexibility', 'Adaptability', 'Cross-functional communication', 'Independent work', 'Problem-solving', 'Collaboration', 'Verbal communication', 'Written communication']",5.0,not specified
424,"['JavaScript', 'Java']","['DevOps', 'Database Management', 'Software Development', 'Web Development', 'Other']","['Teamwork', 'Responsibility', 'Ownership', 'Analytical skills', 'Problem solving']",,not specified
425,"['JavaScript', 'Other', 'Java']","['Mobile Development', 'Software Development', 'Other']","['Strong verbal and written communication', 'Flexibility and ability to adapt to rapidly changing requirements', 'The ability to work independently', 'Proven ability to communicate cross-functionally']",1.0,not specified
