index,programming_languages,tools_and_technologies,soft_skills,years_experience_min,experience_level
657,"[""C"", ""C++"", ""Java"", ""Python""]","[""gcc"", ""clang"", ""GNU ld"", ""gold"", ""distcc"", ""icecream"", ""CMake"", ""Bazel"", ""RPM"", ""deb""]","[""designing for performance"", ""designing for reliability"", ""designing for traceability"", ""designing for reproducibility""]",,not specified
658,[],[],"[""Organizational skills"", ""Problem solving"", ""Critical thinking"", ""Communication""]",5.0,senior
659,"[""Java"", ""Python"", ""JavaScript""]","[""RESTful web services"", ""NoSQL"", ""Splunk"", ""Nagios"", ""AppDynamics"", ""SVN"", ""Git"", ""Maven"", ""Gradle""]","[""Logical debugging"", ""Proactive problem-solving"", ""Troubleshooting"", ""Cross-functional collaboration"", ""Oral and written communication"", ""Innovative problem-solving""]",3.0,mid
660,"[""Java""]","[""Web Services"", ""3rd Party APIs""]","[""Problem Solving"", ""Critical Thinking"", ""Communication""]",3.0,mid
661,"[""C++"", ""Node.js"", ""Swift"", ""Objective-C""]","[""HLS.JS"", ""Oauth"", ""HTML5 Video"", ""tvOS"", ""iOS"", ""Ubuntu""]",[],,not specified
662,"[""JavaScript"", ""TypeScript"", ""Angular"", ""Swift""]","[""Web-based data tools"", ""Engineering project dashboards""]","[""Project management"", ""Attention to detail"", ""Self-learning"", ""Articulate communication"", ""Motivation"", ""Stress management""]",,senior
663,"[""Java"", ""Clojure""]","[""NoSQL"", ""Voldemort"", ""Memcached"", ""Redis"", ""Apache Solr"", ""Apache Lucene"", ""Hibernate"", ""Enterprise Objects Framework"", ""TCP/IP"", ""HTTP"", ""SSL""]","[""Critical thinking"", ""Debugging"", ""Cross-functional collaboration"", ""Advocating for best practices""]",,senior
664,"[""C"", ""C++""]","[""computer vision"", ""machine learning"", ""image processing"", ""iOS""]","[""written and verbal communication"", ""teamwork"", ""project management"", ""problem-solving""]",,not specified
665,"[""Java"", ""Scala"", ""C++""]","[""Spring"", ""MVC frameworks"", ""containerisation"", ""container management""]","[""Analytical abilities"", ""Design skills"", ""Leadership"", ""Communication"", ""Self starter"", ""Visionary"", ""Collaboration""]",10.0,senior
666,"[""Java"", ""Clojure""]","[""NoSQL"", ""Voldemort"", ""Memcached"", ""Redis"", ""Apache Solr"", ""Apache Lucene"", ""Hibernate"", ""Enterprise Objects Framework"", ""TCP"", ""IP"", ""HTTP"", ""SSL"", ""JVM""]","[""Critical thinking"", ""Debugging"", ""Cross-functional collaboration"", ""Consensus building"", ""Object-oriented design"", ""Data structures and algorithms""]",,senior
667,"[""Java"", ""Scala"", ""SQL""]","[""Hadoop"", ""MapReduce"", ""Oozie"", ""Flume"", ""Spark"", ""Cassandra"", ""Kafka"", ""Solr"", ""Impala""]","[""Analytical skills"", ""Communication"", ""Collaboration"", ""Leadership"", ""Self-starter"", ""Forward-thinking""]",,senior
668,"[""C++""]","[""Direct3D"", ""OpenGL"", ""Metal"", ""Vulkan""]","[""Architecture design"", ""Memory management"", ""Profiling"", ""Optimization""]",,not specified
669,"[""Java"", ""C"", ""C++"", ""Ruby"", ""Python""]","[""SVN"", ""Git"", ""GitHub"", ""Maven"", ""Ant"", ""Gradle"", ""Jenkins"", ""TeamCity"", ""Splunk"", ""REST"", ""JSON"", ""Puppet"", ""Chef"", ""Salt"", ""Docker"", ""Linux"", ""JUnit"", ""Jacoco"", ""Sonar"", ""Clover""]","[""Desire to automate work"", ""Experience leading test automation integration""]",,senior
670,"[""Java"", ""Python"", ""Ruby"", ""Shell""]","[""Linux"", ""JMeter"", ""Locust"", ""Gatling"", ""Tsung"", ""Oracle"", ""Cassandra"", ""Docker"", ""AWS"", ""Git"", ""Hadoop"", ""Kafka"", ""Solr""]","[""analytical skills"", ""problem solving"", ""communication"", ""information seeking"", ""adaptability"", ""self-supervision""]",6.0,senior
671,"[""C"", ""C++"", ""Python""]","[""Bash"", ""Cryptography""]","[""Fluent English""]",,not specified
672,"[""Java""]","[""Service-oriented architectures"", ""Relational databases"", ""SQL"", ""NoSQL databases"", ""XML"", ""JSON"", ""Messaging systems"", ""Queuing systems"", ""Workflow systems""]","[""Ability to work with incomplete requirements"", ""Interacting directly with partners"", ""Thriving in multi-functional teams"", ""Juggling multiple priorities""]",5.0,senior
673,"[""Java"", ""Python"", ""JavaScript""]","[""JUnit"", ""TestNG"", ""Selenium"", ""React"", ""HTML"", ""CSS"", ""Git"", ""Oracle"", ""Postgres"", ""Cassandra"", ""Solr"", ""Kafka"", ""HTTP"", ""TLS"", ""JSON"", ""XML"", ""cryptography""]","[""Self-motivated"", ""Proactive"", ""Detail-oriented"", ""Excellent written and oral English communication skills""]",5.0,senior
674,"[""Java"", ""J2EE""]","[""databases"", ""web technologies"", ""scalability and fault-tolerant design""]","[""problem-solving"", ""leadership"", ""communication"", ""collaboration"", ""self-starter"", ""visionary""]",10.0,senior
675,"[""Java"", ""Scala"", ""Python""]","[""Map/Reduce"", ""Scoobi"", ""Spark"", ""HTTP"", ""RESTful API design"", ""Machine Learning"", ""Big Data pipelines""]","[""Creativity"", ""Initiative"", ""Ability to work to deadlines""]",3.0,mid
676,[],"[""APIs"", ""Distributed Data Stores"", ""Kafka"", ""Message Broker""]","[""Collaboration"", ""Teamwork""]",5.0,mid
677,"[""Python"", ""Ruby"", ""Perl"", ""ObjectiveC"", ""Swift"", ""C++"", ""C""]","[""Object Oriented Design"", ""Software application architecture"", ""Source control tools (e.g. Git, SVN)"", ""Unix / Unix scripting"", ""Multithreaded programming"", ""Network Socket programming"", ""UI Design"", ""Wiki technology"", ""XML and JSON"", ""Mac OS and iOS application development""]","[""Excellent communication and presentation skills"", ""Ability to work cross functionally and regionally"", ""Seeing the bigger picture"", ""Good at dealing with people and understanding their requirements"", ""Ability to work to tight deadlines"", ""Ambitious and logical problem solver"", ""Strong work ethic"", ""Excellent analytical skills""]",,not specified
678,"[""Java""]","[""Hadoop"", ""Apache Spark"", ""REST API""]","[""Collaboration"", ""Decision-making"", ""High-quality software delivery"", ""Teamwork""]",5.0,senior
679,"[""Java""]","[""TestNG"", ""JUnit"", ""Selenium"", ""Tomcat"", ""Spring"", ""JSP"", ""HTTP"", ""Git"", ""Gradle"", ""Docker"", ""Kafka"", ""Solr"", ""Cassandra"", ""Hadoop""]","[""Analytical"", ""Problem Solving"", ""Communication"", ""Self-motivated"", ""Results Oriented"", ""Deadline Driven""]",5.0,senior
680,"[""Python"", ""Ruby"", ""Perl"", ""ObjectiveC"", ""Swift"", ""C++"", ""C""]","[""Object Oriented Design"", ""Software application architecture"", ""Source control tools (e.g. Git, SVN)"", ""Unix / Unix scripting"", ""Multithreaded programming"", ""Network Socket programming"", ""UI Design"", ""Wiki technology"", ""XML and JSON"", ""Mac OS and iOS application development""]","[""Communication"", ""Presentation"", ""Problem-solving"", ""Analytical skills"", ""Cross-functional collaboration"", ""Time management"", ""Teamwork"", ""Work ethic""]",,not specified
681,"[""Python"", ""Ruby"", ""Perl"", ""ObjectiveC"", ""Swift"", ""C++"", ""C""]","[""Object Oriented Design"", ""Software application architecture"", ""Source control tools (e.g. Git, SVN)"", ""Unix / Unix scripting"", ""Multithreaded programming"", ""Network Socket programming"", ""UI Design"", ""Wiki technology"", ""XML"", ""JSON"", ""Mac OS and iOS application development""]","[""Excellent communication and presentation skills"", ""Ability to work cross functionally and regionally"", ""Bigger picture perspective"", ""Teamwork"", ""Deadline management"", ""Problem solving"", ""Analytical skills""]",,not specified
682,"[""Java""]","[""SQL"", ""NoSQL"", ""XML"", ""JSON"", ""service-oriented architectures"", ""relational data modeling"", ""messaging systems"", ""queuing systems"", ""workflow systems""]","[""object-oriented design"", ""working with incomplete requirements"", ""interacting directly with partners"", ""thriving in multi-functional teams"", ""juggling multiple priorities""]",5.0,senior
683,"[""Java""]","[""SQL"", ""NoSQL"", ""XML"", ""JSON"", ""Messaging systems"", ""Queuing systems"", ""Workflow systems"", ""Service-oriented architectures""]","[""Ability to work with incomplete requirements"", ""Interacting with partners"", ""Thriving in multi-functional teams"", ""Juggling multiple priorities""]",5.0,senior
684,"[""Java"", ""Python"", ""Scala""]","[""data processing"", ""distributed systems"", ""machine learning frameworks"", ""A/B testing""]","[""analytical skills"", ""communication"", ""collaboration""]",,not specified
685,"[""Python"", ""Matlab"", ""C++""]","[""QA Automation Tools"", ""OOP""]","[""Self driven"", ""Independent"", ""Great interpersonal skills"", ""Presentation skills""]",2.0,not specified
686,"[""Java"", ""Clojure""]","[""NoSQL"", ""Voldemort"", ""Memcached"", ""Redis"", ""Apache Solr"", ""Apache Lucene"", ""Hibernate"", ""Enterprise Objects Framework"", ""TCP/IP"", ""HTTP"", ""SSL""]","[""Critical thinking"", ""Debugging"", ""Cross-functional collaboration"", ""Consensus building""]",,senior
687,[],"[""computer vision"", ""machine learning"", ""operating systems"", ""3D visualization"", ""tracking tools""]","[""technical understanding"", ""executive summary creation"", ""collaboration"", ""communication"", ""presentation"", ""simplifying complex information""]",5.0,senior
688,[],"[""architecting scalable distributed services"", ""OO design"", ""design patterns"", ""data structures"", ""algorithms""]","[""technical leadership"", ""team mentorship"", ""project ownership""]",8.0,senior
689,"[""Java"", ""Scala""]","[""Hadoop"", ""Spark"", ""Lucene"", ""Solr"", ""Elasticsearch""]","[""Passion""]",5.0,senior
690,"[""Java""]","[""Spring"", ""Kafka"", ""RESTful Web Services""]","[""Problem-solving"", ""Oral and written communication"", ""Leadership"", ""Presentation"", ""Collaboration"", ""Visionary"", ""Self-starter""]",10.0,senior
691,"[""Java"", ""Kotlin""]","[""HTTP"", ""RESTful services"", ""API design"", ""unit testing"", ""integration testing"", ""production monitoring"", ""domain modelling"", ""eventual consistency"", ""CI/CD""]",[],,senior
692,"[""Java"", ""Scala"", ""Python""]","[""Map/Reduce"", ""Scoobi"", ""Spark"", ""HTTP"", ""Restful API"", ""Machine Learning"", ""Big Data""]","[""Creativity"", ""Initiative"", ""Ability to Work to Deadlines""]",3.0,mid
693,"[""Java""]","[""Lucene"", ""Solr"", ""Elasticsearch"", ""Kafka"", ""Spark"", ""Hadoop"", ""Akka""]","[""Passion for building systems"", ""Production debugging"", ""Performance tuning""]",5.0,senior
694,"[""Java"", ""J2EE""]","[""RESTful web-services"", ""Spring Framework"", ""Microservice Architecture"", ""Service Oriented Architecture"", ""SQL"", ""NoSQL"", ""Big Data"", ""Spark"", ""Akka"", ""Kafka""]","[""Willingness to learn new technologies"", ""Strong commitment to high-quality code"", ""Strong communication skills"", ""Ability to work across multiple teams""]",,senior
695,"[""C++"", ""C"", ""Assembly"", ""Python""]","[""Debugging large system software"", ""Kernel development"", ""Driver development"", ""Firmware development"", ""Modeling and simulation"", ""ARM architecture"", ""X86 architecture""]",[],,not specified
696,"[""C"", ""C++"", ""Swift"", ""Objective-C""]","[""Cocoa"", ""iOS"", ""macOS"", ""Cross-platform development"", ""Networking"", ""HTTP""]","[""Analytical skills"", ""Debugging skills"", ""Communication"", ""Collaboration""]",,not specified
697,"[""Java"", ""SQL""]","[""J2EE"", ""RESTful web-services"", ""Service Oriented Architecture"", ""Spring Framework"", ""Microservice Architecture"", ""NoSQL"", ""Big Data"", ""Spark"", ""Akka"", ""Kafka""]","[""Strong communication skills"", ""Ability to work effectively across multiple teams"", ""Willingness to learn new technologies"", ""Commitment to high-quality code development""]",,senior
698,"[""Java"", ""Scala""]","[""Hadoop"", ""Spark"", ""Lucene"", ""Solr"", ""Elasticsearch""]","[""Passion"", ""A/B experimentation"", ""Metric-driven product development""]",5.0,senior
699,"[""Python""]","[""Test automation"", ""Object-oriented programming"", ""mySQL"", ""Database testing""]","[""Strong written and verbal communication"", ""Collaboration"", ""Motivation"", ""Multitasking"", ""Adaptability""]",,not specified
700,"[""C""]","[""HW-SW integrations"", ""RT/Embedded environment"", ""lab instruments"", ""measurement techniques""]","[""debug skills""]",3.0,not specified
701,[],"[""A/B testing"", ""content delivery networks"", ""load balancing"", ""caching strategies""]","[""communication skills"", ""team collaboration""]",8.0,senior
702,"[""Java"", ""Scala""]","[""Spark"", ""MapReduce"", ""Hive"", ""Graph databases"", ""Cassandra"", ""Solr"", ""Relational databases"", ""Avro"", ""XML"", ""JSON"", ""Parquet""]",[],5.0,senior
703,"[""Ruby"", ""Javascript"", ""CSS"", ""HTML""]","[""Ruby on Rails"", ""RSpec"", ""Resque"", ""Postgresql"", ""Redis"", ""Git"", ""SVN"", ""CI/CD"", ""Docker"", ""Kubernetes"", ""Hadoop"", ""Kafka"", ""Cassandra"", ""Solr"", ""Shell Scripting"", ""Networking systems"", ""Load Balancers"", ""TCP/IP""]","[""Communication"", ""Collaboration"", ""Articulating design strategies""]",7.0,senior
704,"[""Java"", ""Scala""]","[""Spark"", ""MapReduce"", ""Hive"", ""Graph databases"", ""Cassandra"", ""Solr"", ""Relational databases"", ""Avro"", ""XML"", ""JSON"", ""Parquet"", ""ETL processes""]",[],5.0,senior
705,"[""Java"", ""Scala"", ""C++""]","[""Spark"", ""Hadoop"", ""Data Visualization"", ""Vector Analysis""]","[""Object-Oriented Design"", ""Building Large-Scale Data Pipelines"", ""High Volume Data Handling"", ""Team Building and Scaling"", ""Independent Learning"", ""Prototyping"", ""Communication"", ""Cross-Functional Collaboration""]",,senior
706,"[""C"", ""C++"", ""Objective-C"", ""Swift""]","[""Cocoa"", ""iOS"", ""macOS"", ""cross-platform development"", ""HTTP networking""]","[""analytical skills"", ""debugging skills"", ""ability to learn quickly"", ""independent work"", ""collaboration""]",,not specified
707,"[""C++"", ""Python"", ""Bash"", ""cShell"", ""Matlab""]","[""Linux"", ""Mac"", ""Shell programming"", ""SQL"", ""Cloud infrastructure"", ""iOS Development"", ""Windows programming"", ""Image Processing"", ""Computer Vision""]","[""Multipurpose programming"", ""Developing various tools quickly""]",5.0,senior
708,"[""SQL""]","[""Big Data Platforms"", ""Data Architecture"", ""Data Governance/Quality"", ""Data Engineering"", ""NoSQL"", ""ETL"", ""SDLC"", ""Data Storage Systems""]","[""Team Leadership"", ""Stakeholder Management"", ""Adaptability"", ""Cross-Functional Collaboration"", ""Problem Solving""]",10.0,senior
709,"[""Java""]","[""Spark"", ""MapReduce"", ""Hadoop"", ""Kafka"", ""Redis"", ""Cassandra"", ""Voldemort"", ""Unix""]","[""Ability to juggle a high workload and multiple responsibilities"", ""Strong written and oral interpersonal skills""]",,not specified
710,[],"[""SQL"", ""Command Line""]","[""Analytical thinking"", ""Collaboration"", ""Communication"", ""Attention to detail""]",,not specified
711,[],"[""DNNs""]","[""Hard-working"", ""Independent"", ""Fast learner""]",4.0,not specified
712,"[""Java"", ""OO language""]","[""Spark"", ""MapReduce"", ""Hadoop"", ""Kafka"", ""Redis"", ""Cassandra"", ""Voldemort"", ""Unix""]","[""Strong written and oral interpersonal skills"", ""Ability to juggle a high workload and multiple responsibilities""]",,not specified
713,"[""Java"", ""Scala""]","[""Hadoop"", ""Spark"", ""Kafka""]",[],,not specified
714,"[""Java"", ""Clojure""]","[""Apache Solr"", ""Apache Lucene"", ""RESTful APIs"", ""Hibernate"", ""Enterprise Objects Framework"", ""NoSQL"", ""Memcached"", ""Redis"", ""Voldemort"", ""Cassandra"", ""MongoDB"", ""JVM""]","[""Debugging"", ""Critical thinking"", ""Interpersonal skills""]",,senior
715,[],"[""Numbers"", ""Excel""]","[""Cross-functional teamwork"", ""Interpersonal skills"", ""Analytical abilities"", ""Problem-solving skills"", ""Communication skills"", ""Attention to detail"", ""Proactivity""]",,not specified
716,[],"[""macOS"", ""iOS"", ""UNIX"", ""UNIX administration"", ""operating system concepts"", ""network concepts"", ""compiler concepts""]","[""Excellent verbal and written interpersonal skills"", ""Ability to create simple and elegant yet scalable and robust solutions""]",,not specified
717,[],"[""Building systems""]","[""Communication"", ""Interpersonal"", ""Leadership"", ""Organization"", ""Problem solving"", ""Quick learning"", ""Self-starting"", ""Independent working""]",10.0,senior
718,"[""Swift"", ""Objective-C""]","[""Xcode"", ""Apple developer frameworks"", ""3rd-party tools""]","[""Attention to detail"", ""Self-motivation"", ""Independent work"", ""Communication skills"", ""Professional demeanor"", ""Public speaking"", ""Presentation skills"", ""Collaboration"", ""Time management"", ""Proactivity"", ""Adaptability""]",5.0,senior
719,"[""Objective-C"", ""Swift""]","[""Xcode"", ""Apple graphics technologies"", ""game technologies"", ""graphics shaders""]","[""Attention to detail"", ""Self-motivated"", ""Independent work"", ""Written and verbal communication"", ""Public speaking"", ""Presentation skills"", ""Collaboration"", ""Professionalism"", ""Ability to meet tight schedules"", ""Motivation"", ""Enthusiasm"", ""Adaptability"", ""Preparedness to travel""]",5.0,senior
720,[],"[""Apple products""]","[""communication"", ""relationship management"", ""reporting"", ""proactivity"", ""self-motivation"", ""detail-oriented"", ""creative thinking"", ""problem-solving"", ""multi-tasking"", ""adaptability""]",3.0,mid
721,"[""C"", ""Python"", ""Bash""]","[""UNIX/Linux"", ""macOS"", ""iOS"", ""Debugging"", ""Firmware""]",[],,not specified
722,"[""Python"", ""Ruby"", ""Objective-C""]","[""Language data analysis""]","[""Interpersonal skills"", ""Attention to detail"", ""Ability to handle priorities""]",,not specified
723,"[""Python"", ""JavaScript"", ""Scala""]","[""operating systems"", ""UNIX"", ""Linux"", ""iOS"", ""macOS""]","[""Highly-motivated"", ""Creative"", ""Organized"", ""Strong problem solver"", ""Excellent communication skills"", ""Collaboration""]",,not specified
724,"[""C++""]","[""Machine Learning"", ""GPU Programming"", ""CUDA"", ""OpenCL"", ""Performance Analysis"", ""Optimization"", ""Parallel Programming"", ""Mathematics"", ""Linear Algebra"", ""Numerical Methods""]",[],,not specified
725,"[""Shell scripting""]","[""Apple platforms"", ""UNIX"", ""Linux""]","[""Debugging"", ""Operating system concepts"", ""Network concepts"", ""Compiler concepts""]",,not specified
726,"[""Pega"", ""Core Java""]","[""Pega Platform"", ""SOAP Services"", ""Unix/Linux""]","[""Interpersonal skills""]",,not specified
727,"[""JavaScript"", ""Node.js""]","[""npm"", ""browserify"", ""webpack"", ""babel"", ""eslint"", ""Jasmine"", ""Jenkins"", ""UNIX"", ""bash""]","[""interpersonal skills"", ""verbal communication"", ""written communication""]",,not specified
728,"[""JavaScript"", ""Node.js""]","[""npm"", ""browserify"", ""webpack"", ""babel"", ""eslint"", ""Jasmine"", ""continuous integration"", ""Jenkins"", ""UNIX"", ""bash""]","[""strong verbal and written interpersonal skills""]",,not specified
729,"[""Bash"", ""Python"", ""Java""]","[""Splunk"", ""Search Processing Language (SPL)""]",[],10.0,senior
730,"[""Swift""]","[""iOS SDK"", ""UIKit"", ""Core Data"", ""Core Animation"", ""Core Graphics"", ""AVFoundation"", ""Core Spotlight"", ""Core Text"", ""JSON"", ""REST""]","[""Communication"", ""Collaboration"", ""Multi-tasking"", ""Brainstorming""]",,not specified
731,"[""C++""]","[""Machine Learning Algorithms"", ""Parallel Programming"", ""CUDA"", ""OpenCL"", ""GPU Performance Analysis"", ""Optimization"", ""Mathematics"", ""Linear Algebra"", ""Numerical Methods""]",[],,not specified
732,"[""C"", ""C++"", ""C#"", ""Matlab""]","[""Camera testing and calibration"", ""Excel"", ""JMP"", ""Basic optics""]","[""Collaborative"", ""Presentation"", ""Deadline-oriented"", ""Commitment""]",5.0,senior
733,"[""Java"", ""Other programming language""]","[""Relational databases"", ""NoSQL databases"", ""SSL/TLS"", ""HTTP networking"", ""Authentication technologies"", ""Internet protocols"", ""Load balancing"", ""Web caching""]","[""Partnership building"", ""Facilitation skills"", ""Risk reporting"", ""Problem-solving""]",,senior
734,"[""Objective-C"", ""Swift""]","[""SAP Cloud Platform SDK for iOS"", ""UIKit"", ""Storyboarding"", ""Core Data"", ""Apple Push Notification"", ""ExternalAccessory"", ""App crash log symbolication"", ""3rd party framework/Lib integration"", ""HTTP"", ""RESTful API"", ""Splunk"", ""SSO"", ""RFID/barcode Scanner integration"", ""Git"", ""GitHub"", ""GitLab""]","[""Strong verbal and written communication"", ""Troubleshooting and debugging"", ""Leadership"", ""Collaboration"", ""Problem-solving"", ""Self-starter"", ""Forward-thinking""]",6.0,senior
735,"[""C++""]","[""Machine learning"", ""Parallel programming"", ""CUDA"", ""OpenCL"", ""GPU performance analysis"", ""Optimization"", ""Mathematics"", ""Linear algebra"", ""Numerical methods""]",[],,not specified
736,[],"[""Extron"", ""Crestron"", ""Cisco"", ""Apple products"", ""PC products"", ""SLA"", ""KPI""]","[""Customer service"", ""Problem-solving"", ""Communication"", ""Organization"", ""Detail-oriented"", ""Self-directed"", ""Quick learning"", ""Prioritization""]",6.0,senior
737,[],"[""UIKit""]","[""communication"", ""analytical skills"", ""problem-solving"", ""time management"", ""proactivity"", ""self-motivation"", ""attention to detail""]",,not specified
738,"[""HTML"", ""CSS"", ""JavaScript"", ""PHP"", ""Bash"", ""Perl"", ""Python"", ""Ruby""]","[""Subversion"", ""Git"", ""GitHub"", ""Jenkins"", ""Apache"", ""Content Management Systems"", ""Continuous Integration""]","[""Attention to detail"", ""Problem solving"", ""Troubleshooting"", ""Independent working"", ""Critical thinking"", ""Communication"", ""Social skills"", ""Ability to work with diverse teams"", ""Initiative"", ""Learning ability""]",5.0,senior
739,"[""Scala"", ""JVM languages"", ""JavaScript""]","[""RESTful APIs"", ""GraphQL"", ""Play Framework"", ""Ruby on Rails"", ""Django"", ""Spring"", ""SQL"", ""NoSQL"", ""Postgres"", ""Cassandra"", ""FoundationDB"", ""Distributed Systems"", ""Java Tools Ecosystem"", ""HTML"", ""React""]","[""Customer focused""]",,not specified
740,[],[],"[""communication"", ""organizational"", ""leadership"", ""creative thinking"", ""critical thinking"", ""flexibility"", ""calmness"", ""proactive""]",5.0,senior
741,[],"[""macOS"", ""Linux"", ""command line""]","[""Creative thinking"", ""Problem solving"", ""QA intuition"", ""Ambition"", ""Self-motivation"", ""Deadline management"", ""Communication skills"", ""Organization"", ""Adaptability""]",,not specified
742,"[""Scala"", ""JVM languages""]","[""RESTful APIs"", ""GraphQL"", ""Play"", ""Ruby on Rails"", ""Django"", ""Spring"", ""SQL"", ""NoSQL"", ""Postgres"", ""Cassandra"", ""FoundationDB"", ""HTML"", ""JavaScript"", ""React""]","[""Creative thinker"", ""Strong problem solver"", ""Excellent communication"", ""Highly organized"", ""Motivated"", ""Passionate""]",,not specified
743,"[""C++"", ""Objective-C""]",[],"[""Communication"", ""Teamwork"", ""Detail-oriented"", ""Problem-solving""]",,not specified
744,"[""Verilog""]","[""FPGA"", ""Altera"", ""Xilinx"", ""ChipScope"", ""SignalTap"", ""Oscilloscopes"", ""Logic analysers""]","[""Communication"", ""Desire to take on diverse challenges""]",,not specified
745,"[""Python"", ""JavaScript"", ""Shell""]","[""Object-Oriented programming"", ""device automation""]","[""creative and critical thinking"", ""problem solving"", ""excellent communication"", ""ability to drive cross-functional and multi-team projects""]",,not specified
746,[],"[""Debugging"", ""Bugfixing"", ""Profiling"", ""Multiprocessing"", ""Memory Management"", ""Software Release Lifecycles"", ""System-Level Programming"", ""Testing""]","[""Problem Solving"", ""Initiative""]",5.0,senior
747,"[""Python"", ""JavaScript"", ""Ruby"", ""HTML5""]","[""Real-time communications"", ""Voice and Video over IP"", ""Splunk"", ""Machine learning"", ""Data analytics"", ""Cocoa programming"", ""Agile software development""]","[""Self-driven"", ""Communication skills"", ""Judgment and integrity"", ""Focus and prioritization"", ""Positive attitude"", ""Adaptability"", ""Results-oriented""]",,not specified
748,"[""Python"", ""C"", ""C++""]","[""TensorFlow"", ""Caffe"", ""MXNet"", ""Keras"", ""PyTorch"", ""posix"", ""scripting"", ""version control systems""]","[""Analytical and problem-solving skills"", ""Written and verbal communication"", ""Leadership"", ""Teamwork"", ""Self-direction""]",,senior
749,[],"[""Embedded System Environments"", ""Payment Protocols"", ""EMV"", ""Global Platform"", ""Cryptographic Algorithms (RSA, DES, AES, SHA-1)""]","[""Problem Solving"", ""Debugging"", ""Communication"", ""Attention to Detail"", ""Team Collaboration""]",,senior
750,"[""JavaScript"", ""HTML5"", ""CSS3"", ""AJAX""]","[""CVS"", ""SVN"", ""Git"", ""Semantic Markup"", ""CSS"", ""Web Standards"", ""Node build systems"", ""CommonJS"", ""Sass"", ""WebGL""]","[""Visual and Interactive Design Discipline"", ""Understanding of Major Browsers"", ""Innovative Interaction Development""]",7.0,senior
751,"[""Python"", ""Java"", ""Scala"", ""Clojure""]","[""Relational databases"", ""NoSQL databases"", ""Cloud platform services""]","[""Problem solving"", ""Critical thinking"", ""Communication"", ""Self-motivation"", ""Proactive"", ""Solution-oriented""]",,not specified
752,"[""Verilog""]","[""FPGA"", ""Altera"", ""Xilinx"", ""ChipScope"", ""SignalTap"", ""oscilloscopes"", ""logic analyzers""]","[""Excellent communication"", ""Diverse problem-solving""]",,not specified
753,"[""Python"", ""Swift"", ""C++""]","[""Compilers"", ""Software tools""]","[""Curiosity about software"", ""Clear communication"", ""Cross-organizational collaboration"", ""Focus and prioritization"", ""Passion for quality"", ""Accountability"", ""Dedication"", ""Critical thinking""]",,not specified
754,"[""C"", ""C++"", ""Objective-C"", ""Python""]","[""Jenkins"", ""CI/CD"", ""MySQL"", ""MongoDB""]","[""Strong organizational skills"", ""Communication skills""]",5.0,senior
755,[],"[""Large-scale web services"", ""Project management fundamentals""]","[""Communication"", ""Presentation"", ""Prioritization"", ""Decision-making"", ""Cross-functional leadership"", ""Self-starting"", ""Accountability"", ""Responsibility"", ""Reliability""]",5.0,senior
756,"[""Java"", ""Scala"", ""JavaScript"", ""Shell"", ""Perl"", ""Python"", ""R"", ""C/C++""]","[""Splunk"", ""Tableau"", ""SQL"", ""Hadoop""]","[""Analytical skills"", ""Problem-solving"", ""Collaboration""]",3.0,not specified
757,"[""Java"", ""C++"", ""Python""]","[""machine learning"", ""natural language processing"", ""classification"", ""feature engineering"", ""information extraction"", ""structured prediction"", ""clustering"", ""semi-supervised learning"", ""topic modeling"", ""ranking""]","[""hard-working"", ""self-starter"", ""project management"", ""communication"", ""interaction with engineers""]",,not specified
758,"[""Objective-C"", ""Swift""]","[""Xcode"", ""CoreAnimation"", ""WPF"", ""UIKit"", ""Android"", ""AppKit""]","[""problem solving"", ""critical thinking"", ""communication""]",,not specified
759,"[""Python"", ""Java"", ""Scala"", ""Clojure""]","[""Relational databases"", ""NoSQL databases"", ""Continuous integration"", ""Deployment"", ""Cloud platform services""]","[""Problem solving"", ""Critical thinking"", ""Communication"", ""Self-motivation"", ""Proactiveness"", ""Solution-oriented""]",,not specified
760,"[""Python"", ""JavaScript"", ""Shell"", ""Swift"", ""Objective C""]","[""Automated Testing"", ""Test Automation""]","[""Communication"", ""Problem Solving"", ""Adaptability""]",,not specified
761,"[""C"", ""C++""]","[""Graphics APIs"", ""GPU architecture""]","[""Problem solving"", ""Critical thinking"", ""Interpersonal skills"", ""Judgment and integrity"", ""Focus and prioritization"", ""Creativity""]",,not specified
762,"[""Python"", ""R"", ""Matlab"", ""Mathematica""]","[""Privacy Preserving Machine Learning"", ""Statistical Algorithms""]","[""Professionalism"", ""Ability to meet tight deadlines""]",2.0,not specified
763,"[""Python"", ""R""]","[""D3"", ""Highcharts"", ""Recharts"", ""Bokeh"", ""Plotly""]","[""Effective communication"", ""Team leadership"", ""Data visualization"", ""Big picture thinking""]",,senior
764,"[""SQL""]","[""Salesforce"", ""Digital Advertising"", ""SEM"", ""Data Storage"", ""Front End User Design""]","[""Excellent communication"", ""Project management"", ""Organizational skills"", ""Cross-functional relationship building"", ""Establishing rapport"", ""Managing projects"", ""Integrity"", ""Diversity"", ""Trust""]",5.0,mid
765,"[""C""]","[""operating systems"", ""OS security"", ""applied cryptography""]","[""teamwork"", ""professionalism"", ""ability to work under tight schedules"", ""cross-functional collaboration""]",,not specified
