id,location,programming_languages,tools_and_technologies,years_experience_min,experience_level
416,North America,"Scala, Java","Data Analytics, Cloud Computing, Database Management, Other",2,mid
417,North America,,"Data Analytics, Software Development, Mobile Development",,senior
418,North America,"Swift, C++, Other","Software Development, Other",,not specified
419,North America,"Scala, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Web Development",5,senior
420,North America,"Python, C++, Other","DevOps, Software Development",5,senior
421,North America,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,not specified
422,North America,,"Cybersecurity, Software Development, Web Development, Networking, Other",,not specified
423,North America,"JavaScript, Other, Java","Other, Data Analytics, Software Development, Mobile Development",5,not specified
424,North America,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,not specified
425,North America,"JavaScript, Other, Java","Mobile Development, Software Development, Other",1,not specified
426,North America,"JavaScript, Swift, Python","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Mobile Developm",3,mid
427,North America,,,2,mid
428,North America,"Swift, C++, Java, Other","Software Development, Mobile Development",,not specified
429,North America,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
430,North America,"JavaScript, Other","Web Development, Other",5,senior
431,North America,,"Networking, Other",5,senior
432,North America,"C++, Other","Software Development, Other",,not specified
433,North America,"Java, Python, Ruby, C++, Other","Web Development, Other",,senior
434,North America,"JavaScript, Swift, C++, Other",,,not specified
435,North America,"C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
436,North America,"Scala, Java, Python, Ruby, Go, C++","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Soft",5,senior
437,North America,Java,"Data Analytics, Database Management, Cloud Computing, Web Development, Other",5,senior
438,North America,"Python, Java","Data Analytics, Other",,senior
439,North America,Java,Web Development,3,mid
440,North America,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,not specified
441,North America,"Swift, Other","Machine Learning/Artificial Intelligence, Software Development, Other",6,senior
442,Asia,,"Internet of Things (IoT), Software Development, Other",5,senior
443,North America,Java,"Web Development, Data Analytics, Cloud Computing, Database Management",5,senior
444,North America,"C++, Other",Other,,not specified
445,North America,,"Other, Mobile Development",5,senior
446,North America,"JavaScript, Other, Java","Software Development, Mobile Development, Other",1,mid
447,North America,"Python, C++, Swift, Other","DevOps, Software Development, Other",,not specified
448,North America,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
449,North America,Java,"Web Development, Software Development",5,not specified
450,North America,"Scala, Java, Python, Ruby, C++","Software Development, Other",4,senior
451,North America,"Python, C++, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",3,senior
452,North America,"JavaScript, Other, Java","Mobile Development, Software Development, Other",4,mid
453,North America,Java,"DevOps, Database Management, Software Development, Web Development, Other",10,senior
454,North America,"Other, Java","Cloud Computing, Software Development, Database Management, Other",,not specified
455,North America,"Python, C++, Swift, Other","Software Development, Other",2,not specified
456,North America,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development,",,senior
457,North America,,"Machine Learning/Artificial Intelligence, Software Development",5,senior
458,North America,,Other,,senior
459,North America,"C++, Other",Other,3,mid
460,North America,,,,mid
461,North America,"Python, Perl, Shell, Ruby, C++, Other","Software Development, Networking, Other",7,senior
462,North America,"JavaScript, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
463,North America,"Swift, C++, Other","Other, Mobile Development",,not specified
464,North America,"Swift, Other",Mobile Development,,not specified
465,North America,"Java, Other",Mobile Development,,not specified
466,North America,"Scala, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Web Development",5,senior
467,North America,"Python, Other","Networking, Mobile Development, Database Management, Other",3,mid
468,North America,Other,Software Development,,not specified
469,North America,,"Other, Mobile Development",,not specified
470,North America,Other,"Human-Computer Interaction, Software Development, Networking, Other",1,mid
471,North America,"Python, Other","Software Development, Other",,not specified
472,North America,"Python, Shell, Other",Other,5,senior
473,North America,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,mid
474,North America,"Python, Shell, Perl, Ruby, Go","DevOps, Cloud Computing, Software Development, Web Development, Other",,not specified
475,North America,"Other, C++, Java","Database Management, Other",,senior
476,North America,Other,"Software Development, Networking, Other",5,senior
477,North America,"Ruby, Python, C++, Java","DevOps, Mobile Development, Software Development, Other",,not specified
478,North America,"C++, Other","Other, Mobile Development",,not specified
479,North America,"Scala, Java, Python, Ruby, C++","Software Development, Other",4,senior
480,North America,"JavaScript, Swift, Python","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Mobile Developm",3,mid
481,North America,,"Web Development, Data Analytics, Mobile Development, Other",7,senior
482,North America,"Python, C++, Other","Software Development, Other",,not specified
483,North America,"C++, Java, Other","Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Web Development, Net",,not specified
484,North America,"Java, Python, Perl, Go, C++","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
485,North America,"Go, Python, Other","DevOps, Cloud Computing, Software Development, Networking, Other",,not specified
486,North America,"JavaScript, Other","DevOps, Database Management, Software Development, Web Development, Other",9,senior
487,North America,Java,"Web Development, Software Development, Mobile Development, Other",5,senior
488,North America,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Web Development",5,senior
489,North America,"Scala, Java, Python, Ruby, Go, C++","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Soft",5,senior
490,North America,"Scala, Java, Python, Ruby, Go, C++, Other","Data Analytics, Software Development, Database Management, Other",5,senior
491,North America,"Scala, Swift, Other, Java","Software Development, Other",5,senior
492,North America,"Python, Perl, Ruby, C++, Other","Software Development, Other",,not specified
493,North America,"C++, Other","Software Development, Other",,not specified
494,North America,,,,not specified
495,North America,"Swift, Other","Software Development, Other",,not specified
496,North America,"Python, Java","Web Development, Software Development, Mobile Development, Other",,not specified
497,North America,"JavaScript, Other, Java","Other, Data Analytics, Software Development, Mobile Development",5,mid
498,North America,"Swift, Other","Human-Computer Interaction, Other, Mobile Development",,not specified
499,North America,"Python, C++, Java, Other","Web Development, Software Development, Other",,not specified
500,North America,"C++, Other","Software Development, Networking, Other",4,senior
501,North America,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,not specified
502,North America,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
503,North America,,"Other, Blockchain, Cybersecurity",7,senior
504,North America,"JavaScript, Other, Java","Other, Data Analytics, Software Development, Mobile Development",5,not specified
505,North America,,Machine Learning/Artificial Intelligence,5,senior
506,North America,,,,not specified
507,North America,"Python, C++, Other","Software Development, Mobile Development, Other",,not specified
508,North America,"JavaScript, Python, Perl, C++, Other",DevOps,2,mid
509,North America,"Swift, Other","Data Analytics, Mobile Development, Software Development, Human-Computer Interaction, Other",,not specified
510,North America,"JavaScript, Other, Java","Web Development, Software Development, Database Management, Other",5,senior
511,North America,"JavaScript, Other, Java","Web Development, Software Development, Database Management, Other",5,senior
512,North America,C++,"Other, Software Development, Mobile Development",,not specified
513,North America,"JavaScript, Swift, TypeScript, Other",,,not specified
514,North America,Other,"Software Development, Networking, Other",5,senior
515,North America,Java,Web Development,3,mid
516,North America,"C++, Other","Cybersecurity, Software Development, Other",,not specified
517,North America,C++,Other,,not specified
518,North America,"Python, C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
519,Asia,"Python, C++, Other","Cybersecurity, Software Development, Networking, Other",3,not specified
520,North America,"Scala, Java, Python, Ruby, Go, C++, Other","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Soft",5,senior
521,North America,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Web Development",5,senior
522,North America,"Other, Java","Database Management, Cybersecurity, Software Development, Web Development, Other",7,senior
523,North America,"Other, Java","Database Management, Cybersecurity, Software Development, Web Development, Other",,not specified
524,North America,"JavaScript, Java, Python, Ruby, C++, Other","Data Analytics, Cloud Computing, Software Development",,not specified
525,North America,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
526,North America,"Scala, Java, Python, Ruby, C++","Software Development, Other",4,not specified
527,North America,"JavaScript, Swift, Shell, Python, Other","Software Development, Other",5,senior
528,North America,Other,"Software Development, Database Management, Mobile Development",2,mid
529,North America,"Python, C++, Other","Internet of Things (IoT), Software Development, Other",,not specified
530,North America,"JavaScript, Python, Ruby, C++, Other",Software Development,2,mid
531,North America,Python,"Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
532,North America,,"Web Development, Database Management",,not specified
533,North America,"Swift, Other","Web Development, Cloud Computing, Software Development",5,senior
534,North America,Java,"Data Analytics, Software Development, Database Management, Other",,senior
535,North America,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,not specified
536,North America,Other,"Cloud Computing, Database Management, Other",,not specified
537,North America,Other,"Software Development, Other",,senior
538,North America,,"Machine Learning/Artificial Intelligence, Software Development, Networking, Other",,senior
539,North America,"Python, Other","Software Development, Other",,not specified
540,North America,Java,Web Development,5,senior
541,North America,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
542,North America,,"Software Development, Other",,not specified
543,Asia,"Scala, Python, Java","Data Analytics, Other",6,senior
544,North America,"Python, C++, Swift, Other","DevOps, Software Development, Other",,not specified
545,North America,"Scala, Java, Python, Ruby, Go, C++, Other","Data Analytics, Software Development, Database Management, Other",5,senior
546,North America,"JavaScript, PHP, Python, Perl, Ruby, Other","Web Development, Mobile Development, Other",,not specified
547,North America,"JavaScript, C++","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",2,mid
548,North America,,"Machine Learning/Artificial Intelligence, Mobile Development, Other",,not specified
549,Asia,Other,"Software Development, Other",,senior
550,North America,"Swift, Java, Scala, Other","Web Development, Other, Software Development, Mobile Development",,mid
551,North America,"Swift, Other","Software Development, Other",5,senior
552,North America,Java,"Software Development, Mobile Development",5,senior
553,North America,,"Machine Learning/Artificial Intelligence, Other",,mid
554,North America,"Python, Java","Web Development, DevOps, Mobile Development, Other",7,senior
555,North America,"JavaScript, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Web ",,senior
556,North America,"C++, Other","Mobile Development, Software Development, Other",,not specified
557,North America,"JavaScript, Python","Internet of Things (IoT), DevOps, Mobile Development",,not specified
558,North America,Java,"DevOps, Database Management, Software Development, Web Development, Other",,senior
559,North America,Java,"DevOps, Database Management, Cloud Computing, Software Development, Web Development, Other",,senior
560,North America,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Web Development, Other",,not specified
561,North America,"Swift, C++, Other","Machine Learning/Artificial Intelligence, Other",5,not specified
562,North America,"Java, Python, Ruby, C++, Other","Web Development, Software Development, Other",,senior
563,North America,"Scala, Other, Java","Web Development, Data Analytics, DevOps, Database Management",5,senior
564,North America,"Swift, Java, Scala, Other","Data Analytics, Mobile Development, Software Development, Web Development, Other",,not specified
565,North America,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
566,North America,,"Data Analytics, Machine Learning/Artificial Intelligence",,senior
567,North America,"Python, Scala, Other","Data Analytics, Database Management, Cloud Computing, Internet of Things (IoT), Other",,not specified
568,North America,Java,"Web Development, Cloud Computing, Software Development, Database Management",5,senior
569,North America,Java,Web Development,10,senior
570,North America,"Java, Python, Shell, Perl, Other","Software Development, Mobile Development, Other",2,mid
571,North America,Swift,"Mobile Development, Software Development, Database Management, Other",3,mid
572,North America,"Scala, Java, Python, Go, C++","Cloud Computing, Software Development",,not specified
573,North America,"Swift, Other","Web Development, Human-Computer Interaction",,not specified
574,North America,,,,not specified
575,North America,,"Web Development, Software Development, Other",5,senior
576,North America,"C++, Other","Internet of Things (IoT), Data Analytics, Other",,not specified
577,North America,,"Web Development, Software Development",,not specified
578,North America,"JavaScript, Swift, TypeScript, Other","Web Development, Software Development",,not specified
579,North America,"Scala, C#, Other, Java","Database Management, Software Development, Networking",5,senior
580,North America,"JavaScript, Java, Perl, Shell, Python","DevOps, Database Management, Mobile Development, Software Development, Web Development, Networking, ",5,senior
581,North America,"C++, Other","Mobile Development, Other",5,senior
582,North America,,Other,,not specified
583,North America,JavaScript,"Web Development, Other",,not specified
584,Asia,Other,Other,,senior
585,North America,"Scala, Java","Web Development, Software Development",5,senior
586,Asia,"JavaScript, Java, Python, Shell, Perl","DevOps, Database Management, Mobile Development, Software Development, Web Development, Networking, ",5,senior
587,North America,"Scala, Python, Java","Web Development, Data Analytics, Machine Learning/Artificial Intelligence, Other",3,mid
588,North America,"JavaScript, Scala, Other, Java","Web Development, Data Analytics, Software Development, Database Management",5,not specified
589,North America,,Other,10,senior
590,North America,"C++, Other","Other, DevOps, Software Development, Mobile Development",,not specified
591,North America,Other,Cybersecurity,3,mid
592,North America,"JavaScript, Scala, Java","Web Development, Data Analytics, Software Development, Database Management",5,senior
593,North America,"Swift, Other","Machine Learning/Artificial Intelligence, Software Development, Mobile Development",,senior
594,North America,"Go, Other","Cloud Computing, DevOps, Software Development",,senior
595,North America,"C++, Other","Software Development, Networking, Other",,not specified
596,North America,"Swift, Other","Web Development, Human-Computer Interaction",,not specified
597,North America,"Scala, Python, Java","Web Development, Data Analytics, Cloud Computing, Database Management",6,senior
598,North America,"Java, Python, Shell, Perl, Other","Software Development, Mobile Development, Other",3,not specified
599,North America,"Python, C++, Other","Other, Mobile Development",,not specified
600,North America,Other,"Web Development, Database Management, Networking, Other",,not specified
601,North America,"Scala, Java","Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Database Management",5,senior
602,North America,"Scala, Java","Data Analytics, Software Development, Database Management",5,senior
603,North America,"Perl, Shell, Python",Software Development,,not specified
604,Asia,"Scala, Python, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",5,mid
605,North America,,"Machine Learning/Artificial Intelligence, Software Development, Mobile Development",,mid
606,North America,Java,"Database Management, Cloud Computing, Software Development, Web Development, Other",5,senior
607,North America,,"Software Development, Other",,not specified
608,Asia,,"Software Development, Other",6,senior
609,North America,"Scala, Java, Python, Ruby, Go, C++","Data Analytics, Software Development, Database Management, Other",5,senior
610,North America,Java,"Data Analytics, Other",,senior
611,North America,"Scala, Python, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Other",3,mid
612,North America,Java,"Web Development, Software Development",10,senior
613,North America,C++,"Other, Data Analytics, Software Development, Mobile Development",,not specified
614,Asia,Java,"Cloud Computing, DevOps, Other",,not specified
615,Asia,"Python, C++, Java, Other","Mobile Development, Software Development, Networking, Other",5,senior
616,North America,"Scala, Other, Java","Web Development, Data Analytics, DevOps, Other",5,senior
617,North America,"JavaScript, Swift, Other","Web Development, Software Development, Database Management, Other",3,mid
618,North America,"C++, Java","Cybersecurity, Cloud Computing, Database Management, Other",4,senior
619,North America,"Python, C++, Other","Other, Software Development, Mobile Development",,not specified
620,North America,"C++, Other","Other, DevOps, Software Development, Mobile Development",,not specified
621,North America,"C++, Other","Other, Mobile Development",6,senior
622,North America,"C++, Other","Software Development, Other",,not specified
623,North America,Other,"Internet of Things (IoT), Software Development, Other",,senior
624,Europe,"C++, Other","Software Development, Other",,not specified
625,North America,"Python, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Soft",,senior
626,North America,"JavaScript, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Soft",,not specified
627,North America,Java,"Cloud Computing, Database Management, Other",5,senior
628,North America,"Ruby, Perl, PHP, Python","Web Development, Software Development, Database Management",4,mid
629,North America,"JavaScript, Java","Web Development, Other",5,senior
630,North America,"Swift, C++, Other","Machine Learning/Artificial Intelligence, Mobile Development, Other",,not specified
631,North America,Java,"Web Development, Software Development",,senior
632,North America,"JavaScript, Python, Java","DevOps, Cloud Computing, Software Development, Web Development, Other",,senior
633,North America,"Python, Java","Web Development, Software Development, Database Management, Other",5,senior
634,North America,Java,"Data Analytics, DevOps, Database Management, Software Development, Other",,senior
635,North America,Java,"Web Development, Software Development, Database Management, Other",,not specified
636,North America,"C++, Java","Cybersecurity, Cloud Computing, Database Management, Other",4,senior
637,North America,"Python, Other",Other,,not specified
638,North America,"C++, Java","Database Management, Cloud Computing, Cybersecurity, Web Development, Other",4,senior
639,Europe,"Ruby, Python, Shell, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Other",,not specified
640,North America,"C++, Other","Software Development, Other",5,senior
641,North America,Java,"Web Development, Data Analytics, Software Development, Database Management",,not specified
642,Asia,"Python, C++, Other","Software Development, Other",,not specified
643,Europe,Java,"Web Development, Database Management, Software Development, Networking",,not specified
644,North America,"Scala, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Other",5,senior
645,North America,"Scala, Java","Data Analytics, Database Management, Cloud Computing, Web Development, Other",,not specified
646,North America,"Swift, Other",Cybersecurity,,not specified
647,North America,Other,Software Development,,not specified
648,North America,Java,Web Development,,not specified
649,North America,"Scala, Java, Perl, Python, Other","Data Analytics, Other",3,not specified
650,North America,"JavaScript, Python, Java","Database Management, Cloud Computing, Cybersecurity, Software Development, Web Development, Other",5,mid
651,North America,Java,"Database Management, Cloud Computing, Software Development, Web Development, Networking, Other",5,senior
652,Asia,Java,"Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development,",8,senior
653,North America,"Python, C++, Other",Machine Learning/Artificial Intelligence,,not specified
654,North America,"Scala, Java","Data Analytics, Database Management, Cloud Computing, Web Development, Other",,senior
655,North America,"C++, Other","Software Development, Other",,not specified
656,North America,Java,"Database Management, Software Development, Web Development, Networking, Other",5,senior
657,Europe,"Python, C++, Java, Other","DevOps, Software Development, Other",,not specified
658,North America,,,5,senior
659,North America,"JavaScript, Python, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development,",3,mid
660,North America,Java,Web Development,3,mid
661,Europe,"JavaScript, Swift, C++, Other","Web Development, Other, Mobile Development, Cybersecurity",,not specified
662,Europe,"JavaScript, Swift, TypeScript, Other","Data Analytics, Other",,senior
663,North America,"Other, Java","Database Management, Cybersecurity, Web Development, Networking, Other",,senior
664,North America,"C++, Other","Machine Learning/Artificial Intelligence, Mobile Development, Other",,not specified
665,North America,"Scala, C++, Java","Web Development, DevOps, Software Development, Cloud Computing",10,senior
666,Asia,"Other, Java","Database Management, Cybersecurity, Web Development, Networking, Other",,senior
667,North America,"Scala, Other, Java","Data Analytics, Cloud Computing, Database Management, Other",,senior
668,North America,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
669,North America,"Java, Python, Ruby, C++, Other","Data Analytics, DevOps, Software Development, Web Development, Other",,senior
670,North America,"Ruby, Python, Shell, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",6,senior
671,Europe,"Python, C++, Other","Cybersecurity, Other",,not specified
672,North America,Java,"Database Management, Software Development, Web Development, Networking, Other",5,senior
673,North America,"JavaScript, Python, Java","Database Management, Cloud Computing, Cybersecurity, Software Development, Web Development, Other",5,senior
674,North America,Java,"Web Development, Cloud Computing, Database Management",10,senior
675,North America,"Scala, Python, Java","Web Development, Data Analytics, Machine Learning/Artificial Intelligence, Other",3,mid
676,North America,,"Web Development, Cloud Computing, Database Management, Networking",5,mid
677,Europe,"Python, Swift, Perl, Ruby, C++, Other","DevOps, Software Development, Human-Computer Interaction, Networking, Other",,not specified
678,North America,Java,"Web Development, Data Analytics",5,senior
679,Asia,Java,"Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development,",5,senior
680,Europe,"Python, Swift, Perl, Ruby, C++, Other","DevOps, Software Development, Human-Computer Interaction, Networking, Other",,not specified
681,Europe,"Python, Swift, Perl, Ruby, C++, Other","DevOps, Software Development, Web Development, Human-Computer Interaction, Networking, Other",,not specified
682,North America,Java,"Database Management, Software Development, Web Development, Networking, Other",5,senior
683,North America,Java,"Database Management, Software Development, Web Development, Networking, Other",5,senior
684,North America,"Python, Scala, Java","Data Analytics, Cloud Computing, Machine Learning/Artificial Intelligence, Other",,not specified
685,Asia,"Python, C++, Other",Software Development,2,not specified
686,Asia,"Other, Java","Database Management, Cybersecurity, Web Development, Networking, Other",,senior
687,North America,,"Machine Learning/Artificial Intelligence, Software Development, Other",5,senior
688,North America,,"Cloud Computing, Software Development, Other",8,senior
689,Asia,"Scala, Java","Data Analytics, Software Development, Database Management",5,senior
690,North America,Java,"Web Development, Cloud Computing",10,senior
691,Europe,"Kotlin, Java","DevOps, Database Management, Software Development, Web Development, Other",,senior
692,North America,"Scala, Python, Java","Web Development, Data Analytics, Machine Learning/Artificial Intelligence, Other",3,mid
693,North America,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Other",5,senior
694,North America,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Web Development, Other",,senior
695,Asia,"Python, C++, Other","Software Development, Other",,not specified
696,North America,"Swift, C++, Other","Other, Software Development, Networking, Mobile Development",,not specified
697,North America,"Other, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Web Development, Other",,senior
698,Asia,"Scala, Java","Data Analytics, Software Development, Database Management",5,senior
699,North America,Python,"Software Development, Database Management",,not specified
700,Asia,Other,"Internet of Things (IoT), Other",3,not specified
701,North America,,"Web Development, Software Development, Networking, Other",8,senior
702,North America,"Scala, Java","Web Development, Data Analytics, Database Management, Other",5,senior
703,North America,"Ruby, JavaScript, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Networking, Othe",7,senior
704,North America,"Scala, Java","Web Development, Data Analytics, Database Management, Other",5,senior
705,North America,"Scala, C++, Java",Data Analytics,,senior
706,North America,"Swift, C++, Other","Other, Software Development, Networking, Mobile Development",,not specified
707,Asia,"Shell, Python, C++, Other","Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Mobile Development, ",5,senior
708,North America,Other,"Data Analytics, Software Development, Database Management, Other",10,senior
709,North America,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Other",,not specified
710,North America,,"Database Management, Other",,not specified
711,Asia,,Machine Learning/Artificial Intelligence,4,not specified
712,North America,"Other, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Other",,not specified
713,Europe,"Scala, Java","Data Analytics, Cloud Computing",,not specified
714,North America,"Other, Java","Web Development, Database Management, Other",,senior
715,North America,,"Data Analytics, Other",,not specified
716,Europe,,"Mobile Development, Software Development, Networking, Other",,not specified
717,North America,,Other,10,senior
718,North America,"Swift, Other",Software Development,5,senior
719,North America,"Swift, Other","Software Development, Other",5,senior
720,North America,,Other,3,mid
721,North America,"Python, Shell, Other","Software Development, Mobile Development, Other",,not specified
722,North America,"Ruby, Python, Other",Data Analytics,,not specified
723,North America,"JavaScript, Python, Scala","Software Development, Mobile Development, Other",,not specified
724,North America,C++,"Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
725,Asia,Shell,"Software Development, Other",,not specified
726,Asia,"Java, Other","Software Development, Other",,not specified
727,North America,JavaScript,"Web Development, DevOps, Software Development, Other",,not specified
728,North America,JavaScript,"Web Development, DevOps, Software Development, Other",,not specified
729,North America,"Python, Shell, Java",Data Analytics,10,senior
730,North America,Swift,"Web Development, Other, Software Development, Mobile Development",,not specified
731,Europe,C++,"Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
732,Asia,"C++, C#, Other","Data Analytics, Other",5,senior
733,Europe,"Other, Java","Database Management, Cybersecurity, Web Development, Networking, Other",,senior
734,North America,"Swift, Other","Data Analytics, DevOps, Mobile Development, Cybersecurity, Software Development, Web Development, Ot",6,senior
735,North America,C++,"Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
736,North America,,"Networking, Other",6,senior
737,North America,,Other,,not specified
738,Asia,"JavaScript, PHP, Perl, Shell, Python, Ruby, Other","Web Development, DevOps, Software Development, Other",5,senior
739,North America,"JavaScript, Scala, Other","Database Management, Cloud Computing, Software Development, Web Development, Other",,not specified
740,North America,,,5,senior
741,North America,,Other,,not specified
742,North America,"Scala, Other","Web Development, Database Management, Other",,not specified
743,North America,"C++, Other",,,not specified
744,Asia,Other,Other,,not specified
745,North America,"JavaScript, Python, Shell","Internet of Things (IoT), Software Development",,not specified
746,North America,,"Software Development, Other",5,senior
747,North America,"JavaScript, Python, Ruby, Other","Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Networking, Other",,not specified
748,North America,"Python, C++, Other","Machine Learning/Artificial Intelligence, Software Development, DevOps, Other",,senior
749,North America,,"Internet of Things (IoT), Cybersecurity, Blockchain, Other",,senior
750,North America,"JavaScript, Other","Web Development, Software Development, Other",7,senior
751,North America,"Python, Other, Scala, Java","Cloud Computing, Database Management, Other",,not specified
752,Asia,Other,Other,,not specified
753,North America,"Python, Swift, C++","Software Development, Other",,not specified
754,North America,"Python, C++, Other","DevOps, Database Management",5,senior
755,North America,,Other,5,senior
756,North America,"JavaScript, Scala, R, Java, Perl, Shell, Python, C++","Data Analytics, Database Management",3,not specified
757,Asia,"Python, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
758,North America,"Swift, Other","Other, Software Development, Mobile Development",,not specified
759,North America,"Python, Other, Scala, Java","Cloud Computing, DevOps, Database Management, Other",,not specified
760,Europe,"JavaScript, Python, Shell, Swift, Other",Software Development,,not specified
761,North America,"C++, Other","Web Development, Other",,not specified
762,North America,"Python, R, Other","Data Analytics, Machine Learning/Artificial Intelligence",2,not specified
763,North America,"Python, R","Data Analytics, Other",,senior
764,North America,Other,"Web Development, Data Analytics, Other",5,mid
765,North America,Other,"Other, Software Development, Cybersecurity",,not specified
766,North America,"Python, Other",Other,,not specified
767,North America,"Other, C++, C#, Java","Other, Software Development, Mobile Development",,not specified
768,Asia,Other,"Internet of Things (IoT), Other",3,not specified
769,North America,"Other, Java","Software Development, Other",,not specified
770,North America,"Other, Java","Database Management, Cybersecurity, Software Development, Networking, Other",,not specified
771,North America,"C++, Other","Internet of Things (IoT), Software Development, Other",,not specified
772,North America,,Software Development,5,senior
773,North America,"Python, R","Data Analytics, Cloud Computing, Database Management",,senior
774,North America,"Perl, Shell","Mobile Development, Software Development, Other",,not specified
775,North America,"C++, Other","Software Development, Other",,not specified
776,North America,"C++, Other","Software Development, Other",,not specified
777,North America,"Python, Other",Other,,not specified
778,North America,Other,"Software Development, Other",,not specified
779,North America,"C++, Other","Web Development, Cloud Computing, Other",,not specified
780,North America,"Ruby, Python, Shell, Go","DevOps, Software Development, Other",,senior
781,North America,Java,"Cybersecurity, Software Development, Networking, Other",,not specified
782,North America,,Software Development,5,senior
783,North America,"Other, Java","DevOps, Database Management, Software Development, Web Development, Other",5,senior
784,North America,"Python, C++",Other,,not specified
785,North America,"Python, R","Database Management, Other",,senior
786,North America,"C++, Other","Internet of Things (IoT), Other",,not specified
787,North America,,Other,,not specified
788,Asia,Other,"Internet of Things (IoT), Software Development, Other",3,not specified
789,North America,"Python, C++, Other","Software Development, Mobile Development, Other",,not specified
790,North America,"Ruby, Perl, Python","Other, Software Development, Mobile Development",,not specified
791,North America,"Perl, C++, Python, Other","Cybersecurity, Other",5,senior
792,North America,Other,"Web Development, Other, Cybersecurity",,not specified
793,North America,,Other,8,senior
794,North America,Other,"DevOps, Software Development, Other",,not specified
795,North America,"C++, Other","Software Development, Other",5,mid
796,North America,,"Mobile Development, Software Development, Other",1,not specified
797,North America,,"Software Development, Other",3,senior
798,North America,"Python, C++, Other","Software Development, Mobile Development, Other",,not specified
799,North America,"Swift, C++, Other","Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
800,North America,JavaScript,"Web Development, Data Analytics, Cloud Computing, Software Development",,not specified
801,North America,"Ruby, Python, Shell, Perl","DevOps, Software Development",,not specified
802,North America,"Python, Java","Data Analytics, Database Management, Software Development, Web Development, Other",,not specified
