id,programming_languages,tools_and_technologies,years_experience_min,experience_level
441,"Swift, Other","Machine Learning/Artificial Intelligence, Software Development, Other",6.0,senior
442,,"Internet of Things (IoT), Software Development, Other",5.0,senior
443,Java,"Web Development, Data Analytics, Cloud Computing, Database Management",5.0,senior
444,"C++, Other",Other,,not specified
445,,"Other, Mobile Development",5.0,senior
446,"JavaScript, Other, Java","Software Development, Mobile Development, Other",1.0,mid
447,"Python, C++, Swift, Other","DevOps, Software Development, Other",,not specified
448,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
449,Java,"Web Development, Software Development",5.0,not specified
450,"Scala, Java, Python, Ruby, C++","Software Development, Other",4.0,senior
451,"Python, C++, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",3.0,senior
452,"JavaScript, Other, Java","Mobile Development, Software Development, Other",4.0,mid
453,Java,"DevOps, Database Management, Software Development, Web Development, Other",10.0,senior
454,"Other, Java","Cloud Computing, Software Development, Database Management, Other",,not specified
455,"Python, C++, Swift, Other","Software Development, Other",2.0,not specified
456,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development, Networking, Other",,senior
457,,"Machine Learning/Artificial Intelligence, Software Development",5.0,senior
458,,Other,,senior
459,"C++, Other",Other,3.0,mid
460,,,,mid
461,"Python, Perl, Shell, Ruby, C++, Other","Software Development, Networking, Other",7.0,senior
462,"JavaScript, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
463,"Swift, C++, Other","Other, Mobile Development",,not specified
464,"Swift, Other",Mobile Development,,not specified
465,"Java, Other",Mobile Development,,not specified
466,"Scala, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Web Development",5.0,senior
467,"Python, Other","Networking, Mobile Development, Database Management, Other",3.0,mid
468,Other,Software Development,,not specified
469,,"Other, Mobile Development",,not specified
470,Other,"Human-Computer Interaction, Software Development, Networking, Other",1.0,mid
471,"Python, Other","Software Development, Other",,not specified
472,"Python, Shell, Other",Other,5.0,senior
473,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,mid
474,"Python, Shell, Perl, Ruby, Go","DevOps, Cloud Computing, Software Development, Web Development, Other",,not specified
475,"Other, C++, Java","Database Management, Other",,senior
476,Other,"Software Development, Networking, Other",5.0,senior
477,"Ruby, Python, C++, Java","DevOps, Mobile Development, Software Development, Other",,not specified
478,"C++, Other","Other, Mobile Development",,not specified
479,"Scala, Java, Python, Ruby, C++","Software Development, Other",4.0,senior
480,"JavaScript, Swift, Python","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Mobile Development, Software Development, Other",3.0,mid
481,,"Web Development, Data Analytics, Mobile Development, Other",7.0,senior
482,"Python, C++, Other","Software Development, Other",,not specified
483,"C++, Java, Other","Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Web Development, Networking",,not specified
484,"Java, Python, Perl, Go, C++","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
485,"Go, Python, Other","DevOps, Cloud Computing, Software Development, Networking, Other",,not specified
486,"JavaScript, Other","DevOps, Database Management, Software Development, Web Development, Other",9.0,senior
487,Java,"Web Development, Software Development, Mobile Development, Other",5.0,senior
488,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Web Development",5.0,senior
489,"Scala, Java, Python, Ruby, Go, C++","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Software Development, Other",5.0,senior
490,"Scala, Java, Python, Ruby, Go, C++, Other","Data Analytics, Software Development, Database Management, Other",5.0,senior
491,"Scala, Swift, Other, Java","Software Development, Other",5.0,senior
492,"Python, Perl, Ruby, C++, Other","Software Development, Other",,not specified
493,"C++, Other","Software Development, Other",,not specified
494,,,,not specified
495,"Swift, Other","Software Development, Other",,not specified
496,"Python, Java","Web Development, Software Development, Mobile Development, Other",,not specified
497,"JavaScript, Other, Java","Other, Data Analytics, Software Development, Mobile Development",5.0,mid
498,"Swift, Other","Human-Computer Interaction, Other, Mobile Development",,not specified
499,"Python, C++, Java, Other","Web Development, Software Development, Other",,not specified
500,"C++, Other","Software Development, Networking, Other",4.0,senior
501,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,not specified
502,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
503,,"Other, Blockchain, Cybersecurity",7.0,senior
504,"JavaScript, Other, Java","Other, Data Analytics, Software Development, Mobile Development",5.0,not specified
505,,Machine Learning/Artificial Intelligence,5.0,senior
506,,,,not specified
507,"Python, C++, Other","Software Development, Mobile Development, Other",,not specified
508,"JavaScript, Python, Perl, C++, Other",DevOps,2.0,mid
509,"Swift, Other","Data Analytics, Mobile Development, Software Development, Human-Computer Interaction, Other",,not specified
510,"JavaScript, Other, Java","Web Development, Software Development, Database Management, Other",5.0,senior
511,"JavaScript, Other, Java","Web Development, Software Development, Database Management, Other",5.0,senior
512,C++,"Other, Software Development, Mobile Development",,not specified
513,"JavaScript, Swift, TypeScript, Other",,,not specified
514,Other,"Software Development, Networking, Other",5.0,senior
515,Java,Web Development,3.0,mid
516,"C++, Other","Cybersecurity, Software Development, Other",,not specified
517,C++,Other,,not specified
518,"Python, C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
519,"Python, C++, Other","Cybersecurity, Software Development, Networking, Other",3.0,not specified
520,"Scala, Java, Python, Ruby, Go, C++, Other","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Software Development, Other",5.0,senior
521,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Web Development",5.0,senior
522,"Other, Java","Database Management, Cybersecurity, Software Development, Web Development, Other",7.0,senior
523,"Other, Java","Database Management, Cybersecurity, Software Development, Web Development, Other",,not specified
524,"JavaScript, Java, Python, Ruby, C++, Other","Data Analytics, Cloud Computing, Software Development",,not specified
525,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
526,"Scala, Java, Python, Ruby, C++","Software Development, Other",4.0,not specified
527,"JavaScript, Swift, Shell, Python, Other","Software Development, Other",5.0,senior
528,Other,"Software Development, Database Management, Mobile Development",2.0,mid
529,"Python, C++, Other","Internet of Things (IoT), Software Development, Other",,not specified
530,"JavaScript, Python, Ruby, C++, Other",Software Development,2.0,mid
531,Python,"Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
532,,"Web Development, Database Management",,not specified
533,"Swift, Other","Web Development, Cloud Computing, Software Development",5.0,senior
534,Java,"Data Analytics, Software Development, Database Management, Other",,senior
535,"JavaScript, Java","DevOps, Database Management, Software Development, Web Development, Other",,not specified
536,Other,"Cloud Computing, Database Management, Other",,not specified
537,Other,"Software Development, Other",,senior
538,,"Machine Learning/Artificial Intelligence, Software Development, Networking, Other",,senior
539,"Python, Other","Software Development, Other",,not specified
540,Java,Web Development,5.0,senior
541,Java,"DevOps, Database Management, Cloud Computing, Web Development, Other",,not specified
542,,"Software Development, Other",,not specified
543,"Scala, Python, Java","Data Analytics, Other",6.0,senior
544,"Python, C++, Swift, Other","DevOps, Software Development, Other",,not specified
545,"Scala, Java, Python, Ruby, Go, C++, Other","Data Analytics, Software Development, Database Management, Other",5.0,senior
546,"JavaScript, PHP, Python, Perl, Ruby, Other","Web Development, Mobile Development, Other",,not specified
547,"JavaScript, C++","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",2.0,mid
548,,"Machine Learning/Artificial Intelligence, Mobile Development, Other",,not specified
549,Other,"Software Development, Other",,senior
550,"Swift, Java, Scala, Other","Web Development, Other, Software Development, Mobile Development",,mid
551,"Swift, Other","Software Development, Other",5.0,senior
552,Java,"Software Development, Mobile Development",5.0,senior
553,,"Machine Learning/Artificial Intelligence, Other",,mid
554,"Python, Java","Web Development, DevOps, Mobile Development, Other",7.0,senior
555,"JavaScript, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Web Development",,senior
556,"C++, Other","Mobile Development, Software Development, Other",,not specified
557,"JavaScript, Python","Internet of Things (IoT), DevOps, Mobile Development",,not specified
558,Java,"DevOps, Database Management, Software Development, Web Development, Other",,senior
559,Java,"DevOps, Database Management, Cloud Computing, Software Development, Web Development, Other",,senior
560,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Web Development, Other",,not specified
561,"Swift, C++, Other","Machine Learning/Artificial Intelligence, Other",5.0,not specified
562,"Java, Python, Ruby, C++, Other","Web Development, Software Development, Other",,senior
563,"Scala, Other, Java","Web Development, Data Analytics, DevOps, Database Management",5.0,senior
564,"Swift, Java, Scala, Other","Data Analytics, Mobile Development, Software Development, Web Development, Other",,not specified
565,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
566,,"Data Analytics, Machine Learning/Artificial Intelligence",,senior
567,"Python, Scala, Other","Data Analytics, Database Management, Cloud Computing, Internet of Things (IoT), Other",,not specified
568,Java,"Web Development, Cloud Computing, Software Development, Database Management",5.0,senior
569,Java,Web Development,10.0,senior
570,"Java, Python, Shell, Perl, Other","Software Development, Mobile Development, Other",2.0,mid
571,Swift,"Mobile Development, Software Development, Database Management, Other",3.0,mid
572,"Scala, Java, Python, Go, C++","Cloud Computing, Software Development",,not specified
573,"Swift, Other","Web Development, Human-Computer Interaction",,not specified
574,,,,not specified
575,,"Web Development, Software Development, Other",5.0,senior
576,"C++, Other","Internet of Things (IoT), Data Analytics, Other",,not specified
577,,"Web Development, Software Development",,not specified
578,"JavaScript, Swift, TypeScript, Other","Web Development, Software Development",,not specified
579,"Scala, C#, Other, Java","Database Management, Software Development, Networking",5.0,senior
580,"JavaScript, Java, Perl, Shell, Python","DevOps, Database Management, Mobile Development, Software Development, Web Development, Networking, Other",5.0,senior
581,"C++, Other","Mobile Development, Other",5.0,senior
582,,Other,,not specified
583,JavaScript,"Web Development, Other",,not specified
584,Other,Other,,senior
585,"Scala, Java","Web Development, Software Development",5.0,senior
586,"JavaScript, Java, Python, Shell, Perl","DevOps, Database Management, Mobile Development, Software Development, Web Development, Networking, Other",5.0,senior
587,"Scala, Python, Java","Web Development, Data Analytics, Machine Learning/Artificial Intelligence, Other",3.0,mid
588,"JavaScript, Scala, Other, Java","Web Development, Data Analytics, Software Development, Database Management",5.0,not specified
589,,Other,10.0,senior
590,"C++, Other","Other, DevOps, Software Development, Mobile Development",,not specified
591,Other,Cybersecurity,3.0,mid
592,"JavaScript, Scala, Java","Web Development, Data Analytics, Software Development, Database Management",5.0,senior
593,"Swift, Other","Machine Learning/Artificial Intelligence, Software Development, Mobile Development",,senior
594,"Go, Other","Cloud Computing, DevOps, Software Development",,senior
595,"C++, Other","Software Development, Networking, Other",,not specified
596,"Swift, Other","Web Development, Human-Computer Interaction",,not specified
597,"Scala, Python, Java","Web Development, Data Analytics, Cloud Computing, Database Management",6.0,senior
598,"Java, Python, Shell, Perl, Other","Software Development, Mobile Development, Other",3.0,not specified
599,"Python, C++, Other","Other, Mobile Development",,not specified
600,Other,"Web Development, Database Management, Networking, Other",,not specified
601,"Scala, Java","Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Database Management",5.0,senior
602,"Scala, Java","Data Analytics, Software Development, Database Management",5.0,senior
603,"Perl, Shell, Python",Software Development,,not specified
604,"Scala, Python, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",5.0,mid
605,,"Machine Learning/Artificial Intelligence, Software Development, Mobile Development",,mid
606,Java,"Database Management, Cloud Computing, Software Development, Web Development, Other",5.0,senior
607,,"Software Development, Other",,not specified
608,,"Software Development, Other",6.0,senior
609,"Scala, Java, Python, Ruby, Go, C++","Data Analytics, Software Development, Database Management, Other",5.0,senior
610,Java,"Data Analytics, Other",,senior
611,"Scala, Python, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Other",3.0,mid
612,Java,"Web Development, Software Development",10.0,senior
613,C++,"Other, Data Analytics, Software Development, Mobile Development",,not specified
614,Java,"Cloud Computing, DevOps, Other",,not specified
615,"Python, C++, Java, Other","Mobile Development, Software Development, Networking, Other",5.0,senior
616,"Scala, Other, Java","Web Development, Data Analytics, DevOps, Other",5.0,senior
617,"JavaScript, Swift, Other","Web Development, Software Development, Database Management, Other",3.0,mid
618,"C++, Java","Cybersecurity, Cloud Computing, Database Management, Other",4.0,senior
619,"Python, C++, Other","Other, Software Development, Mobile Development",,not specified
620,"C++, Other","Other, DevOps, Software Development, Mobile Development",,not specified
621,"C++, Other","Other, Mobile Development",6.0,senior
622,"C++, Other","Software Development, Other",,not specified
623,Other,"Internet of Things (IoT), Software Development, Other",,senior
624,"C++, Other","Software Development, Other",,not specified
625,"Python, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Software Development, Web Development, Other",,senior
626,"JavaScript, Java","Data Analytics, Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Software Development, Web Development",,not specified
627,Java,"Cloud Computing, Database Management, Other",5.0,senior
628,"Ruby, Perl, PHP, Python","Web Development, Software Development, Database Management",4.0,mid
629,"JavaScript, Java","Web Development, Other",5.0,senior
630,"Swift, C++, Other","Machine Learning/Artificial Intelligence, Mobile Development, Other",,not specified
631,Java,"Web Development, Software Development",,senior
632,"JavaScript, Python, Java","DevOps, Cloud Computing, Software Development, Web Development, Other",,senior
633,"Python, Java","Web Development, Software Development, Database Management, Other",5.0,senior
634,Java,"Data Analytics, DevOps, Database Management, Software Development, Other",,senior
635,Java,"Web Development, Software Development, Database Management, Other",,not specified
636,"C++, Java","Cybersecurity, Cloud Computing, Database Management, Other",4.0,senior
637,"Python, Other",Other,,not specified
638,"C++, Java","Database Management, Cloud Computing, Cybersecurity, Web Development, Other",4.0,senior
639,"Ruby, Python, Shell, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Other",,not specified
640,"C++, Other","Software Development, Other",5.0,senior
641,Java,"Web Development, Data Analytics, Software Development, Database Management",,not specified
642,"Python, C++, Other","Software Development, Other",,not specified
643,Java,"Web Development, Database Management, Software Development, Networking",,not specified
644,"Scala, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Other",5.0,senior
645,"Scala, Java","Data Analytics, Database Management, Cloud Computing, Web Development, Other",,not specified
646,"Swift, Other",Cybersecurity,,not specified
647,Other,Software Development,,not specified
648,Java,Web Development,,not specified
649,"Scala, Java, Perl, Python, Other","Data Analytics, Other",3.0,not specified
650,"JavaScript, Python, Java","Database Management, Cloud Computing, Cybersecurity, Software Development, Web Development, Other",5.0,mid
651,Java,"Database Management, Cloud Computing, Software Development, Web Development, Networking, Other",5.0,senior
652,Java,"Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development, Other",8.0,senior
653,"Python, C++, Other",Machine Learning/Artificial Intelligence,,not specified
654,"Scala, Java","Data Analytics, Database Management, Cloud Computing, Web Development, Other",,senior
655,"C++, Other","Software Development, Other",,not specified
656,Java,"Database Management, Software Development, Web Development, Networking, Other",5.0,senior
657,"Python, C++, Java, Other","DevOps, Software Development, Other",,not specified
658,,,5.0,senior
659,"JavaScript, Python, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development, Other",3.0,mid
660,Java,Web Development,3.0,mid
661,"JavaScript, Swift, C++, Other","Web Development, Other, Mobile Development, Cybersecurity",,not specified
662,"JavaScript, Swift, TypeScript, Other","Data Analytics, Other",,senior
663,"Other, Java","Database Management, Cybersecurity, Web Development, Networking, Other",,senior
664,"C++, Other","Machine Learning/Artificial Intelligence, Mobile Development, Other",,not specified
665,"Scala, C++, Java","Web Development, DevOps, Software Development, Cloud Computing",10.0,senior
666,"Other, Java","Database Management, Cybersecurity, Web Development, Networking, Other",,senior
667,"Scala, Other, Java","Data Analytics, Cloud Computing, Database Management, Other",,senior
668,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
669,"Java, Python, Ruby, C++, Other","Data Analytics, DevOps, Software Development, Web Development, Other",,senior
670,"Ruby, Python, Shell, Java","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Other",6.0,senior
671,"Python, C++, Other","Cybersecurity, Other",,not specified
672,Java,"Database Management, Software Development, Web Development, Networking, Other",5.0,senior
673,"JavaScript, Python, Java","Database Management, Cloud Computing, Cybersecurity, Software Development, Web Development, Other",5.0,senior
674,Java,"Web Development, Cloud Computing, Database Management",10.0,senior
675,"Scala, Python, Java","Web Development, Data Analytics, Machine Learning/Artificial Intelligence, Other",3.0,mid
676,,"Web Development, Cloud Computing, Database Management, Networking",5.0,mid
677,"Python, Swift, Perl, Ruby, C++, Other","DevOps, Software Development, Human-Computer Interaction, Networking, Other",,not specified
678,Java,"Web Development, Data Analytics",5.0,senior
679,Java,"Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Web Development, Other",5.0,senior
680,"Python, Swift, Perl, Ruby, C++, Other","DevOps, Software Development, Human-Computer Interaction, Networking, Other",,not specified
681,"Python, Swift, Perl, Ruby, C++, Other","DevOps, Software Development, Web Development, Human-Computer Interaction, Networking, Other",,not specified
682,Java,"Database Management, Software Development, Web Development, Networking, Other",5.0,senior
683,Java,"Database Management, Software Development, Web Development, Networking, Other",5.0,senior
684,"Python, Scala, Java","Data Analytics, Cloud Computing, Machine Learning/Artificial Intelligence, Other",,not specified
685,"Python, C++, Other",Software Development,2.0,not specified
686,"Other, Java","Database Management, Cybersecurity, Web Development, Networking, Other",,senior
687,,"Machine Learning/Artificial Intelligence, Software Development, Other",5.0,senior
688,,"Cloud Computing, Software Development, Other",8.0,senior
689,"Scala, Java","Data Analytics, Software Development, Database Management",5.0,senior
690,Java,"Web Development, Cloud Computing",10.0,senior
691,"Kotlin, Java","DevOps, Database Management, Software Development, Web Development, Other",,senior
692,"Scala, Python, Java","Web Development, Data Analytics, Machine Learning/Artificial Intelligence, Other",3.0,mid
693,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Other",5.0,senior
694,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Web Development, Other",,senior
695,"Python, C++, Other","Software Development, Other",,not specified
696,"Swift, C++, Other","Other, Software Development, Networking, Mobile Development",,not specified
697,"Other, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Web Development, Other",,senior
698,"Scala, Java","Data Analytics, Software Development, Database Management",5.0,senior
699,Python,"Software Development, Database Management",,not specified
700,Other,"Internet of Things (IoT), Other",3.0,not specified
701,,"Web Development, Software Development, Networking, Other",8.0,senior
702,"Scala, Java","Web Development, Data Analytics, Database Management, Other",5.0,senior
703,"Ruby, JavaScript, Other","Data Analytics, DevOps, Database Management, Cloud Computing, Software Development, Networking, Other",7.0,senior
704,"Scala, Java","Web Development, Data Analytics, Database Management, Other",5.0,senior
705,"Scala, C++, Java",Data Analytics,,senior
706,"Swift, C++, Other","Other, Software Development, Networking, Mobile Development",,not specified
707,"Shell, Python, C++, Other","Database Management, Cloud Computing, Machine Learning/Artificial Intelligence, Mobile Development, Software Development, Other",5.0,senior
708,Other,"Data Analytics, Software Development, Database Management, Other",10.0,senior
709,Java,"Data Analytics, Database Management, Cloud Computing, Software Development, Other",,not specified
710,,"Database Management, Other",,not specified
711,,Machine Learning/Artificial Intelligence,4.0,not specified
712,"Other, Java","Data Analytics, Database Management, Cloud Computing, Software Development, Other",,not specified
713,"Scala, Java","Data Analytics, Cloud Computing",,not specified
714,"Other, Java","Web Development, Database Management, Other",,senior
715,,"Data Analytics, Other",,not specified
716,,"Mobile Development, Software Development, Networking, Other",,not specified
717,,Other,10.0,senior
718,"Swift, Other",Software Development,5.0,senior
719,"Swift, Other","Software Development, Other",5.0,senior
720,,Other,3.0,mid
721,"Python, Shell, Other","Software Development, Mobile Development, Other",,not specified
722,"Ruby, Python, Other",Data Analytics,,not specified
723,"JavaScript, Python, Scala","Software Development, Mobile Development, Other",,not specified
724,C++,"Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
725,Shell,"Software Development, Other",,not specified
726,"Java, Other","Software Development, Other",,not specified
727,JavaScript,"Web Development, DevOps, Software Development, Other",,not specified
728,JavaScript,"Web Development, DevOps, Software Development, Other",,not specified
729,"Python, Shell, Java",Data Analytics,10.0,senior
730,Swift,"Web Development, Other, Software Development, Mobile Development",,not specified
731,C++,"Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
732,"C++, C#, Other","Data Analytics, Other",5.0,senior
733,"Other, Java","Database Management, Cybersecurity, Web Development, Networking, Other",,senior
734,"Swift, Other","Data Analytics, DevOps, Mobile Development, Cybersecurity, Software Development, Web Development, Other",6.0,senior
735,C++,"Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
736,,"Networking, Other",6.0,senior
737,,Other,,not specified
738,"JavaScript, PHP, Perl, Shell, Python, Ruby, Other","Web Development, DevOps, Software Development, Other",5.0,senior
739,"JavaScript, Scala, Other","Database Management, Cloud Computing, Software Development, Web Development, Other",,not specified
740,,,5.0,senior
741,,Other,,not specified
742,"Scala, Other","Web Development, Database Management, Other",,not specified
743,"C++, Other",,,not specified
744,Other,Other,,not specified
745,"JavaScript, Python, Shell","Internet of Things (IoT), Software Development",,not specified
746,,"Software Development, Other",5.0,senior
747,"JavaScript, Python, Ruby, Other","Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Networking, Other",,not specified
748,"Python, C++, Other","Machine Learning/Artificial Intelligence, Software Development, DevOps, Other",,senior
749,,"Internet of Things (IoT), Cybersecurity, Blockchain, Other",,senior
750,"JavaScript, Other","Web Development, Software Development, Other",7.0,senior
751,"Python, Other, Scala, Java","Cloud Computing, Database Management, Other",,not specified
752,Other,Other,,not specified
753,"Python, Swift, C++","Software Development, Other",,not specified
754,"Python, C++, Other","DevOps, Database Management",5.0,senior
755,,Other,5.0,senior
756,"JavaScript, Scala, R, Java, Perl, Shell, Python, C++","Data Analytics, Database Management",3.0,not specified
757,"Python, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
758,"Swift, Other","Other, Software Development, Mobile Development",,not specified
759,"Python, Other, Scala, Java","Cloud Computing, DevOps, Database Management, Other",,not specified
760,"JavaScript, Python, Shell, Swift, Other",Software Development,,not specified
761,"C++, Other","Web Development, Other",,not specified
762,"Python, R, Other","Data Analytics, Machine Learning/Artificial Intelligence",2.0,not specified
763,"Python, R","Data Analytics, Other",,senior
764,Other,"Web Development, Data Analytics, Other",5.0,mid
765,Other,"Other, Software Development, Cybersecurity",,not specified
766,"Python, Other",Other,,not specified
767,"Other, C++, C#, Java","Other, Software Development, Mobile Development",,not specified
768,Other,"Internet of Things (IoT), Other",3.0,not specified
769,"Other, Java","Software Development, Other",,not specified
770,"Other, Java","Database Management, Cybersecurity, Software Development, Networking, Other",,not specified
771,"C++, Other","Internet of Things (IoT), Software Development, Other",,not specified
772,,Software Development,5.0,senior
773,"Python, R","Data Analytics, Cloud Computing, Database Management",,senior
774,"Perl, Shell","Mobile Development, Software Development, Other",,not specified
775,"C++, Other","Software Development, Other",,not specified
776,"C++, Other","Software Development, Other",,not specified
777,"Python, Other",Other,,not specified
778,Other,"Software Development, Other",,not specified
779,"C++, Other","Web Development, Cloud Computing, Other",,not specified
780,"Ruby, Python, Shell, Go","DevOps, Software Development, Other",,senior
781,Java,"Cybersecurity, Software Development, Networking, Other",,not specified
782,,Software Development,5.0,senior
783,"Other, Java","DevOps, Database Management, Software Development, Web Development, Other",5.0,senior
784,"Python, C++",Other,,not specified
785,"Python, R","Database Management, Other",,senior
786,"C++, Other","Internet of Things (IoT), Other",,not specified
787,,Other,,not specified
788,Other,"Internet of Things (IoT), Software Development, Other",3.0,not specified
789,"Python, C++, Other","Software Development, Mobile Development, Other",,not specified
790,"Ruby, Perl, Python","Other, Software Development, Mobile Development",,not specified
791,"Perl, C++, Python, Other","Cybersecurity, Other",5.0,senior
792,Other,"Web Development, Other, Cybersecurity",,not specified
793,,Other,8.0,senior
794,Other,"DevOps, Software Development, Other",,not specified
795,"C++, Other","Software Development, Other",5.0,mid
796,,"Mobile Development, Software Development, Other",1.0,not specified
797,,"Software Development, Other",3.0,senior
798,"Python, C++, Other","Software Development, Mobile Development, Other",,not specified
799,"Swift, C++, Other","Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
800,JavaScript,"Web Development, Data Analytics, Cloud Computing, Software Development",,not specified
801,"Ruby, Python, Shell, Perl","DevOps, Software Development",,not specified
802,"Python, Java","Data Analytics, Database Management, Software Development, Web Development, Other",,not specified
803,"C++, Other","Software Development, Other",,not specified
804,"Perl, Python, Ruby, C++, Other","Web Development, Cybersecurity, Software Development, Other",5.0,senior
805,"JavaScript, Java","Data Analytics, Database Management, Cybersecurity, Software Development, Web Development, Other",,senior
806,,Software Development,5.0,senior
807,Python,Other,,mid
808,"C++, Other",Other,3.0,mid
809,"Python, Java","Data Analytics, DevOps, Database Management, Mobile Development, Software Development, Other",4.0,senior
810,"C++, Other","Internet of Things (IoT), Other",3.0,mid
811,"Python, C++, Java, Other","Machine Learning/Artificial Intelligence, Networking, Other",5.0,senior
812,"JavaScript, Python, Shell, Ruby, C++, Other","DevOps, Software Development, Other",,not specified
813,"JavaScript, Python, Swift, Ruby, C++, Other",Software Development,,not specified
814,"Python, C++, Swift, Other","Machine Learning/Artificial Intelligence, Software Development",,not specified
815,Other,"DevOps, Software Development",,not specified
816,,Other,5.0,senior
817,,"Software Development, Other",,mid
818,"Python, Shell","DevOps, Software Development, Other",3.0,mid
819,Other,"Software Development, Other",,not specified
820,Other,"Software Development, Other",,not specified
821,"JavaScript, Other","Database Management, Cloud Computing, Software Development, Web Development, Other",8.0,senior
822,"C++, Other","Software Development, Other",,not specified
823,Python,"Web Development, Machine Learning/Artificial Intelligence, Software Development",,not specified
824,Other,"Web Development, Cybersecurity, Other",,not specified
825,"Python, Shell, Perl, C++, Other","DevOps, Software Development, Other",,not specified
826,,"DevOps, Software Development, Other",7.0,senior
827,"Swift, C++, Java, Other","Other, Cloud Computing, Software Development, Mobile Development",,not specified
828,Other,Other,5.0,senior
829,,Other,5.0,senior
830,,Software Development,,not specified
831,"Python, C++, Other","Software Development, Other",,not specified
832,C++,"Cloud Computing, Software Development, Other",,mid
833,,"Software Development, Other",4.0,not specified
834,"C++, Other","Software Development, Other",,not specified
835,Python,"Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
836,"Python, Java","Data Analytics, Software Development, Database Management, Other",,not specified
837,"C++, Other",Other,,not specified
838,"C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
839,,"Blockchain, Other",,not specified
840,,"Web Development, Other",6.0,senior
841,"Ruby, Python, Shell, Go","DevOps, Other",,senior
842,"Python, Shell, Other","Data Analytics, DevOps, Cloud Computing, Software Development, Other",,senior
843,,"Machine Learning/Artificial Intelligence, Other",5.0,senior
844,"C++, Other","Mobile Development, Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",6.0,senior
845,,,,not specified
846,"PHP, Java, Swift, Python, Perl, Shell, Ruby, C++, Other","Web Development, Other, Cloud Computing, Cybersecurity",10.0,senior
847,"Java, Python, Perl, Ruby, Go","Cloud Computing, DevOps, Software Development, Other",5.0,senior
848,"C++, Other","Software Development, Other",,senior
849,"Python, Other","Other, Software Development, Cybersecurity",,not specified
850,"Python, C++",Other,,not specified
851,"JavaScript, Java","Web Development, Software Development, Database Management, Other",5.0,senior
852,Other,"Cybersecurity, Software Development, Other",,not specified
853,,"Internet of Things (IoT), Software Development, Other",,not specified
854,C++,Other,5.0,senior
855,Python,"Software Development, Networking, Other",7.0,senior
856,"Java, Swift, Python, C++, Other","Networking, Other",2.0,mid
857,"C++, Other","Software Development, Mobile Development, Other",,not specified
858,Python,"DevOps, Software Development",,senior
859,,"DevOps, Software Development",3.0,mid
860,"Python, C++, Go, Java","Data Analytics, Software Development, Other",,not specified
861,"Perl, Shell, Python, C++, Other","Software Development, Other",,mid
